id,outcode,latitude,longitude
420,CM21,51.819851,0.134350
421,CM22,51.873244,0.226269
422,CM23,51.88921,0.160680
423,CM24,51.892387,0.221296
424,CM3,51.72956,0.583012
425,CM4,51.684023,0.379196
426,CM5,51.725365,0.260950
427,CM6,51.873082,0.369539
428,CM7,51.935816,0.490817
429,CM77,51.872499,0.561253
430,CM8,51.81097,0.630306
431,CM9,51.739208,0.726883
432,CM99,51.735856,0.473009
433,CO1,51.888418,0.911281
434,CO10,52.019778,0.698861
435,CO11,51.937062,1.090068
436,CO12,51.920005,1.204421
437,CO13,51.84923,1.228470
438,CO14,51.85396,1.267420
439,CO15,51.794028,1.152117
440,CO16,51.836693,1.110526
441,CO2,51.85441,0.861843
442,CO3,51.886411,0.853792
443,CO4,51.925263,0.913666
444,CO5,51.8268,0.825379
445,CO6,51.955097,0.793075
446,CO7,51.921308,1.010534
447,CO8,51.972092,0.766653
448,CO9,51.977796,0.588700
449,CR0,51.362751,-0.071633
450,CR2,51.345684,-0.075887
451,CR3,51.289343,-0.070594
452,CR4,51.400683,-0.158003
453,CR5,51.304967,-0.150067
454,CR6,51.308,-0.052
455,CR7,51.39484,-0.108912
456,CR8,51.324034,-0.115223
457,CR9,51.363378,-0.070179
458,CT1,51.278952,1.079734
459,CT10,51.367125,1.420852
460,CT11,51.337221,1.410257
461,CT12,51.337047,1.340266
462,CT13,51.267,1.33
463,CT14,51.216,1.387
464,CT15,51.171,1.284
465,CT16,51.14,1.302
466,CT17,51.130638,1.292967
467,CT18,51.116864,1.141256
468,CT19,51.089394,1.164420
469,CT2,51.297463,1.063170
470,CT20,51.079,1.166
471,CT21,51.073,1.078
472,CT3,51.278,1.212
473,CT4,51.216168,1.050547
474,CT5,51.345013,1.021784
475,CT50,51.075701,1.149115
476,CT6,51.35528,1.139413
477,CT7,51.360025,1.307216
478,CT8,51.38,1.341
479,CT9,51.375084,1.388641
480,CV1,52.410338,-1.509154
481,CV10,52.526926,-1.519597
482,CV11,52.517526,-1.430760
483,CV12,52.480709,-1.458551
484,CV13,52.597673,-1.416553
485,CV2,52.432344,-1.446061
486,CV21,52.347041,-1.366452
487,CV22,52.355809,-1.268748
488,CV23,52.365233,-1.298814
489,CV3,52.388827,-1.475226
490,CV31,52.269384,-1.511554
491,CV32,52.305753,-1.524064
492,CV33,52.262406,-1.491520
493,CV34,52.277188,-1.573354
494,CV35,52.212099,-1.578232
495,CV36,52.084183,-1.626250
496,CV37,52.180784,-1.708463
497,CV4,52.390339,-1.560660
498,CV47,52.2253,-1.358965
499,CV5,52.424186,-1.562449
500,CV6,52.439743,-1.507503
501,CV7,52.446239,-1.514981
502,CV8,52.3605,-1.525645
503,CV9,52.601777,-1.578120
504,CW1,53.112178,-2.416255
505,CW10,53.187691,-2.449316
506,CW11,53.146503,-2.354374
507,CW12,53.170861,-2.224969
508,CW2,53.081,-2.446
509,CW3,53,-2.406
510,CW4,53.208429,-2.316010
511,CW5,53.062,-2.521
512,CW6,53.162,-2.666
513,CW7,53.173027,-2.541495
514,CW8,53.248782,-2.593300
515,CW9,53.277959,-2.498544
516,CW98,53.089331,-2.431667
517,DA1,51.446531,0.206018
518,DA10,51.444,0.308
519,DA11,51.436357,0.344804
520,DA12,51.414621,0.407866
521,DA13,51.383815,0.346476
522,DA14,51.424324,0.118534
523,DA15,51.441422,0.101025
524,DA16,51.465047,0.106971
525,DA17,51.487,0.149
526,DA18,51.487302,0.161395
527,DA2,51.430654,0.229322
528,DA3,51.380714,0.297088
529,DA4,51.391,0.233
530,DA5,51.436119,0.146440
531,DA6,51.45581,0.142867
532,DA7,51.467628,0.149559
533,DA8,51.479398,0.179717
534,DA9,51.44638,0.281677
535,DD1,56.460856,-2.958800
536,DD10,56.747,-2.427
537,DD11,56.602729,-2.658503
538,DD2,56.47,-3.027
539,DD3,56.502379,-3.038736
540,DD4,56.510804,-2.949705
541,DD5,56.478,-2.862
542,DD6,56.437,-2.925
543,DD7,56.503,-2.718
544,DD8,56.656,-2.922
545,DD9,56.748,-2.667
546,DE1,52.903346,-1.511342
547,DE11,52.77274,-1.542241
548,DE12,52.723163,-1.578536
549,DE13,52.788188,-1.723433
550,DE14,52.800485,-1.622900
551,DE15,52.797609,-1.588707
552,DE21,52.951351,-1.431864
553,DE22,52.946825,-1.511562
554,DE23,52.89835,-1.502785
555,DE24,52.89,-1.451
556,DE3,52.906961,-1.521844
557,DE4,53.142536,-1.592009
558,DE45,53.215,-1.676
559,DE5,53.048196,-1.405241
560,DE55,53.101,-1.371
561,DE56,53.022,-1.474
562,DE6,52.968585,-1.688596
563,DE65,52.867,-1.61
564,DE7,52.970977,-1.352887
565,DE72,52.894,-1.359
566,DE73,52.852247,-1.448961
567,DE74,52.844,-1.33
568,DE75,53.012576,-1.350302
569,DE99,52.915455,-1.46108
570,DG1,55.073,-3.58
571,DG10,55.32,-3.437
572,DG11,55.114,-3.336
573,DG12,54.99,-3.251
574,DG13,55.173,-3.029
575,DG14,55.081,-2.985
576,DG16,54.997,-3.068
577,DG2,55.065,-3.657
578,DG3,55.237,-3.799
579,DG4,55.375,-3.952
580,DG5,54.922,-3.81
581,DG6,54.837,-4.055
582,DG7,54.968,-4.012
583,DG8,54.915247,-4.609151
584,DG9,54.878,-5.021
585,DH1,54.777922,-1.554390
586,DH2,54.86,-1.597
587,DH3,54.867821,-1.551909
588,DH4,54.845395,-1.489553
589,DH5,54.825344,-1.462171
590,DH6,54.753,-1.464
591,DH7,54.784989,-1.669494
592,DH8,54.856,-1.844
593,DH9,54.84862,-1.664176
594,DH97,54.779259,-1.578053
595,DH98,54.934641,-1.615103
596,DH99,54.786173,-1.557144
597,DL1,54.550379,-1.526809
598,DL10,54.412598,-1.679784
599,DL11,54.439,-1.875
600,DL12,54.572,-1.985
601,DL13,54.716,-1.954
602,DL14,54.652,-1.69
603,DL15,54.709628,-1.740801
604,DL16,54.699,-1.604
605,DL17,54.681,-1.54
606,DL2,54.532952,-1.623143
607,DL3,54.543151,-1.574602
608,DL4,54.63,-1.643
609,DL5,54.617,-1.576
610,DL6,54.371,-1.389
611,DL7,54.359654,-1.501357
612,DL8,54.293,-1.786
613,DL9,54.375,-1.709
614,DN1,53.523749,-1.131630
615,DN10,53.439403,-0.962408
616,DN11,53.450182,-1.104198
617,DN12,53.477226,-1.232874
618,DN14,53.711665,-0.936317
619,DN15,53.647183,-0.642731
620,DN16,53.570202,-0.624399
621,DN17,53.572,-0.701
622,DN18,53.68,-0.446
623,DN19,53.684,-0.359
624,DN2,53.534107,-1.102256
625,DN20,53.558,-0.505
626,DN21,53.416449,-0.645818
627,DN22,53.323,-0.927
628,DN3,53.540041,-1.060731
629,DN31,53.575009,-0.094131
630,DN32,53.562867,-0.067944
631,DN33,53.548657,-0.100349
632,DN34,53.56013,-0.108271
633,DN35,53.555,-0.035
634,DN36,53.511,-0.037
635,DN37,53.541,-0.135
636,DN38,53.561,-0.392
637,DN39,53.617,-0.334
638,DN4,53.504282,-1.121040
639,DN40,53.621,-0.224
640,DN41,53.58839,-0.211516
