"AB106EW",10,393181,804518,"S92000003","","S08000020","","S12000033","S13002846"
"AB106EX",10,393066,805114,"S92000003","","S08000020","","S12000033","S13002845"
"AB106EY",10,393017,805100,"S92000003","","S08000020","","S12000033","S13002845"
"AB106FA",10,393157,805551,"S92000003","","S08000020","","S12000033","S13002844"
"AB106FB",10,393146,805502,"S92000003","","S08000020","","S12000033","S13002844"
"AB106FL",10,393175,804559,"S92000003","","S08000020","","S12000033","S13002846"
"AB106FN",10,393244,804576,"S92000003","","S08000020","","S12000033","S13002846"
"AB106FP",10,393203,804595,"S92000003","","S08000020","","S12000033","S13002846"
"AB106GA",10,393247,804850,"S92000003","","S08000020","","S12000033","S13002846"
"AB106HA",10,392948,805109,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HB",10,392849,805040,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HD",10,392950,805058,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HE",10,392798,804960,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HF",10,392877,805011,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HG",10,393047,804889,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HH",10,393009,804873,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HJ",10,393004,805014,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HL",10,392975,804989,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HN",10,392931,805021,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HP",10,392902,804939,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HQ",10,392867,804933,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HR",10,392991,804829,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HS",10,393079,805022,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HT",10,392966,804919,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HU",10,392869,804845,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HW",10,392382,804810,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HX",10,392774,804772,"S92000003","","S08000020","","S12000033","S13002845"
"AB106HY",10,392680,804679,"S92000003","","S08000020","","S12000033","S13002845"
"AB106JA",10,393051,804954,"S92000003","","S08000020","","S12000033","S13002845"
"AB106JB",10,392735,804681,"S92000003","","S08000020","","S12000033","S13002845"
