2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Cucumbers	All Varieties	1st	£/kg		0.81	0.73	0.66	0.69	0.68	0.56	0.63	0.83	0.80	0.54	
	All Varieties	2nd	£/kg			0.34	0.42	0.49	0.46	0.37	0.45	0.58	0.53	0.31	
	All Varieties	Ave	£/kg			0.71	0.64	0.66	0.65	0.52	0.58	0.80	0.74	0.45	
Dwarf, French or Kidney Beans	Dwarf, French or Kidney	1st	£/kg							2.18	1.72	1.78	1.21		
	Dwarf, French or Kidney	2nd	£/kg							1.62	1.18	1.15	1.33		
	Dwarf, French or Kidney	Ave	£/kg							2.15	1.58	1.67	1.27		
Leeks	Trimmed	1st	£/kg	0.97	0.96	0.86	0.93	1.05		1.21	1.05	1.00	0.92	0.92	0.91
	Trimmed	2nd	£/kg	0.72	0.77	0.73	0.72	0.82		0.90	0.80	0.76	0.74	0.77	0.72
	Trimmed	Ave	£/kg	0.91	0.91	0.82	0.87	0.97		1.18	1.01	0.95	0.88	0.89	0.87
Lettuce	Butterhead – Indoor	1st	£/head	0.33	0.31	0.29	0.26	0.31	0.27	0.26	0.26	0.26	0.31	0.31	0.36
	Butterhead – Indoor	2nd	£/head	0.19	0.19	0.19	0.19	0.23	0.20	0.20	0.21	0.22	0.25	0.25	0.24
	Butterhead – Indoor	Ave	£/head	0.32	0.31	0.29	0.25	0.31	0.27	0.25	0.26	0.26	0.31	0.31	0.36
	Cos	1st	£/head					0.58	0.49	0.46	0.41	0.45	0.47	0.46	
	Cos	2nd	£/head					0.39	0.37	0.32	0.32	0.29	0.28	0.30	
	Cos	Ave	£/head					0.56	0.47	0.43	0.40	0.42	0.45	0.44	
	Crisp-Iceberg Type	1st	£/head					0.54	0.38	0.29	0.31	0.34	0.41	0.56	
	Crisp-Iceberg Type	2nd	£/head					0.34	0.26	0.23	0.24	0.26	0.34	0.37	0.33
	Crisp-Iceberg Type	Ave	£/head					0.52	0.36	0.28	0.29	0.33	0.40	0.51	
	Little Gem	1st	£/twin	0.45	0.43	0.47	0.45	0.53	0.49	0.44	0.39	0.44	0.46	0.52	0.60
	Little Gem	2nd	£/twin					0.40	0.40	0.27	0.26	0.23	0.22		
	Little Gem	Ave	£/twin					0.53	0.49	0.42	0.37	0.43	0.45		
Mushrooms	Button – Indoor	-	£/kg	1.10			1.10	1.02	0.99	1.01			1.10		0.99
	Cup – Indoor	-	£/kg	1.10	1.43	1.51	1.38	1.00	1.40	1.01	1.00	0.99	1.05		1.21
	Flat – Indoor	-	£/kg	0.88			0.96	0.77	0.73	0.73	0.77	0.88	0.77	0.94	0.99
Parsnips	All Varieties	-	£/kg	0.91	0.84	0.81	0.82	0.96	0.72	1.23	1.07	0.90	0.85	0.76	0.80
Rhubarb	Forced	-	£/kg	2.42	2.18	2.31	2.02								2.48
	Outdoor	-	£/kg		3.06	1.37	1.04	0.93	0.94	0.97	0.96	0.93	0.90		
Runner Beans	Runner-Climbing	1st	£/kg							2.43	1.25	1.50	1.74		
	Runner-Climbing	2nd	£/kg							1.54	0.89	0.97	1.10		
	Runner-Climbing	Ave	£/kg							2.32	1.18	1.39	1.30		
Salad Onions	Salad	-	£/bunch				0.21	0.22	0.22	0.22	0.22	0.20	0.21	0.20	
Shelling Peas	All Varieties	1st	£/kg					3.31	1.69	1.36	1.34	1.31			
	All Varieties	2nd	£/kg						1.58	0.97	0.97	1.13			
	All Varieties	Ave	£/kg						1.68	1.32	1.25	1.23			
Spinach	Leaf - Loose/bunches	1st	£/kg				0.92	0.76	0.68	0.68	0.62	0.75	0.76	0.82	
(new item at the start of 2007)	Leaf - Loose/bunches	2nd	£/kg					0.35	0.34	0.32	0.32	0.40	0.38		
	Leaf - Loose/bunches	Ave	£/kg					0.71	0.64	0.64	0.58	0.68	0.70		
Swede	All Varieties	-	£/kg	0.33	0.32	0.32	0.33	0.36	0.44	0.57	0.47	0.44	0.42	0.38	0.37
Sweetcorn	All Varieties	-	£/cob								0.20	0.18	0.19		
Tomatoes	Round	1st	£/kg			1.65	1.18	1.02	0.87	0.88	0.72	0.80	1.03	0.83	0.89
	Round	2nd	£/kg				0.52	0.61	0.60	0.55	0.49	0.54	0.72	0.45	0.76
	Round	Ave	£/kg				1.10	0.98	0.84	0.82	0.67	0.76	0.99	0.71	0.83
	Vine	1st	£/kg			1.53	1.25	0.98	0.89	0.93	0.86	0.92	1.07	0.85	
	Vine	2nd	£/kg				0.58	0.69	0.59	0.56	0.45	0.38		0.46	
	Vine	Ave	£/kg				1.25	0.93	0.86	0.87	0.78	0.89		0.83	
	Cherry	1st	£/kg			3.47	2.78	2.37	1.97	2.11	1.93	1.89	2.32	1.98	
	Cherry	2nd	£/kg						1.42	1.52	1.40	1.46			
	Cherry	Ave	£/kg						1.94	2.07	1.90	1.88			
	Plum	1st	£/kg			1.56	1.22	1.04	0.88	0.89	0.81	0.78	1.10	0.83	
	Plum	2nd	£/kg					0.50	0.50	0.37					
	Plum	Ave	£/kg					1.04	0.88	0.87					
Turnip	All Varieties	-	£/kg	0.73	0.80	0.80	0.77	0.90	0.95	0.87	0.84	0.81	0.84	0.83	0.81
Watercress	All Varieties	-	£/bunch	0.54	0.43	0.47	0.43	0.49	0.51	0.47	0.42	0.45	0.47	0.46	0.46
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.78	0.92	0.88	0.83	0.78	0.80	0.78	0.69	0.83	0.80	0.85	0.99
Chrysanthemums Flowers	Indoor-bloom	-	£/bloom	0.41				0.25	0.42	0.40	0.37	0.37	0.34	0.34	0.36
	Indoor-spray	-	£/spray	0.11	0.15	0.17	0.13	0.17	0.15	0.14	0.16	0.15	0.18	0.16	0.21
Gladioli	All Varieties	-	£/bunch(1)							0.62	0.50	0.55	0.51	0.42	
Irises	Indoor	-	£/bunch(1)	0.44	0.57	0.60	0.49	0.43	0.47			0.59	0.59	0.55	
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.51	0.47	0.39	0.36					0.55	0.49	0.53	0.57
Oriental Lilies	Homegrown	-	£/stem	0.56	0.60	0.63	0.74	0.63	0.58	0.50	0.46	0.52	0.53	0.51	0.52
Pinks	All Varieties	-	£/bunch(3)				0.34	0.28	0.27	0.25	0.25	0.26	0.25		
Tulips	Indoor	-	£/bunch(4)	0.65	0.73	0.73	0.69							0.68	0.78
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	1.00	1.11	1.13	1.04	1.04	1.23	1.10	1.06	0.95	0.82	1.19	1.21
Cyclamen	13cm	-	£ each	1.17	1.17	1.07	1.15					1.05	1.09	1.04	1.31
Poinsettia	13cm	-	£ each											1.49	2.29
Chrysanthemum	13cm	-	£ each	0.90	1.06	1.04	1.06	1.03	1.02	1.06	0.95	1.00	0.97	0.98	1.05
2009		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg							4.18	4.20	4.37	7.14		
Blackcurrants	All Varieties	-	£/kg						6.40	5.38	4.69	5.91	6.24	8.00	
Cherries	Sweet Black	1st	£/kg						4.19	2.53	2.92				
	Sweet Black	2nd	£/kg							1.46					
	Sweet Black	Ave	£/kg							2.34					
	Sweet White	1st	£/kg						2.20	2.22					
	Sweet White	2nd	£/kg							1.75					
	Sweet White	Ave	£/kg							2.15					
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.70	0.67	0.65	0.66	0.71	0.65	0.67	0.63	0.58	0.57	0.56	0.55
	Bramley’s Seedling	2nd	£/kg	0.47	0.46	0.42	0.44	0.44	0.42	0.42	0.43	0.43	0.40	0.39	0.38
	Bramley’s Seedling	Ave	£/kg	0.64	0.62	0.59	0.60	0.64	0.57	0.60	0.59	0.56	0.54	0.53	0.53
Damsons	All Varieties	1st	£/kg								1.03	0.86			
	All Varieties	2nd	£/kg								0.75	0.60			
	All Varieties	Ave	£/kg								1.01	0.77			
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.73	0.83	0.82	0.85	0.64			0.91	0.74	0.60	0.59	0.61
	Cox’s Orange-group	2nd	£/kg	0.48	0.53	0.56	0.51					0.56	0.41	0.36	0.39
	Cox’s Orange-group	Ave	£/kg	0.68	0.77	0.77	0.81					0.72	0.55	0.53	0.56
	Discovery	1st	£/kg							0.86	0.61	0.53			
	Discovery	2nd	£/kg								0.38	0.42			
	Discovery	Ave	£/kg								0.56	0.51			
	Egremont Russet	1st	£/kg	0.77	0.75	0.86	0.78				1.01	0.78	0.64	0.70	0.73
	Egremont Russet	2nd	£/kg	0.53	0.57	0.61	0.63					0.54	0.45	0.51	0.50
	Egremont Russet	Ave	£/kg	0.73	0.73	0.83	0.74					0.76	0.61	0.68	0.71
	Spartan	1st	£/kg									0.66	0.56	0.53	
	Spartan	2nd	£/kg										0.46	0.48	
	Spartan	Ave	£/kg										0.55	0.53	
	Worcester Pearmain	1st	£/kg								0.57	0.50			
	Worcester Pearmain	2nd	£/kg									0.40	0.37		
	Worcester Pearmain	Ave	£/kg									0.50	0.37		
	Red Pippin	1st	£/kg									0.53			
	Red Pippin	2nd	£/kg												
	Red Pippin	Ave	£/kg												
	Gala	1st	£/kg	0.69	0.88	0.76	0.91	0.50				0.62	0.61	0.58	0.52
	Gala	2nd	£/kg	0.45	0.55								0.48	0.46	0.38
	Gala	Ave	£/kg	0.63	0.84								0.59	0.57	0.50
	Other Early Season	-	£/kg								0.59	0.53	0.48	0.44	
	Other Mid Season	-	£/kg									0.51	0.50	0.51	0.54
	Other Late Season	-	£/kg	0.64	0.67	0.61	0.59	0.56					0.51	0.50	0.55
	Jonogold – group	1st	£/kg		0.60	0.66	0.62	0.58					0.59	0.48	0.42
	Jonogold – group	2nd	£/kg										0.46	0.46	
	Jonogold – group	Ave	£/kg										0.57	0.47	0.42
Gooseberries	All Varieties	-	£/kg						2.45	1.77	1.87				
Pears	Conference	1st	£/kg	0.70	0.69	0.86	0.77	0.72			0.89	0.56	0.54	0.52	0.50
	Conference	2nd	£/kg	0.61	0.54	0.58	0.65	0.52			0.49	0.41	0.39	0.42	0.40
	Conference	Ave	£/kg	0.67	0.63	0.82	0.72	0.57			0.85	0.53	0.51	0.49	0.48
	Doyenne Du Comice	1st	£/kg	0.73	0.72	0.72						0.62	0.59	0.58	0.55
	Doyenne Du Comice	2nd	£/kg	0.49	0.48							0.44	0.45	0.40	0.37
	Doyenne Du Comice	Ave	£/kg	0.69	0.56							0.61	0.58	0.54	0.52
	William’s Bon Chretien	1st	£/kg								0.78	0.72	0.63	0.51	0.48
	William’s Bon Chretien	2nd	£/kg										0.49	0.39	0.37
	William’s Bon Chretien	Ave	£/kg										0.63	0.49	0.46
	Other	1st	£/kg	0.66	0.53							0.63	0.55	0.49	0.48
	Other	2nd	£/kg	0.66											
	Other	Ave	£/kg	0.66									0.55	0.49	0.48
Plums and Gages	Czar	1st	£/kg							1.12	0.93				
	Czar	2nd	£/kg								0.72				
	Czar	Ave	£/kg								0.84				
	Majorie’s Seedling	1st	£/kg								0.84	0.74			
	Majorie’s Seedling	2nd	£/kg									0.57			
	Majorie’s Seedling	Ave	£/kg									0.67			
	Victoria	1st	£/kg								0.95	0.88			
	Victoria	2nd	£/kg								0.35	0.54			
	Victoria	Ave	£/kg								0.79	0.77			
	Other Varieties	-	£/kg							1.07	0.74	0.71			
Raspberries	All Varieties	-	£/kg					7.74	7.96	5.49	6.55	7.33	7.84	7.70	
Redcurrants	All Varieties	-	£/kg							5.68	4.09	5.05			
Strawberries	All Varieties	1st	£/kg				6.22	3.61	2.90	2.40	2.10	2.15	2.53	3.12	3.19
	All Varieties	2nd	£/kg				2.73	1.98	1.47	1.13	1.11	1.07	1.37	2.13	2.04
	All Varieties	Ave	£/kg				3.09	2.80	2.28	1.77	1.68	1.68	2.17	2.69	2.58
VEGETABLES															
Asparagus	All Varieties	1st	£/kg			11.00	6.34	5.57	5.87	7.40					
	All Varieties	2nd	£/kg				3.24	3.98	3.57	3.20					
	All Varieties	Ave	£/kg				6.10	5.11	4.85	5.44					
Beetroot	Topped	-	£/kg	0.33	0.34	0.33	0.32	0.36	0.47	0.40	0.33	0.33	0.29	0.30	0.29
Broad Beans	Broad	-	£/kg						1.26	0.77	0.69	0.77	0.83	0.81	
Brussels Sprouts	All Varieties	1st	£/kg	0.54	0.53	0.53	0.51	0.53			0.89	0.70			
	All Varieties	2nd	£/kg	0.42	0.44	0.44	0.44				0.69	0.53			
	All Varieties	Ave	£/kg	0.50	0.50	0.50	0.51				0.88	0.69	0.60	0.54	0.49
Bulb Onions	Yellow	1st	£/kg	0.17	0.16	0.17	0.17	0.19	0.34	0.27	0.20	0.17			
(previously down as bulb only)	Yellow	2nd	£/kg	0.15	0.14	0.14	0.15	0.23	0.17	0.24	0.18	0.15			
	Yellow	Ave	£/kg	0.15	0.14	0.14	0.15	0.22	0.18	0.25	0.18	0.15	0.16	0.17	0.18
Bulb Onions	Red	1st	£/kg	0.42	0.43	0.42	0.40	0.42	0.38	0.40	0.42	0.38			
(new item at the start of 2007)	Red	2nd	£/kg	0.24	0.26	0.28	0.26	0.29	0.26	0.18	0.34	0.35			
	Red	Ave	£/kg	0.33	0.34	0.35	0.33	0.34	0.35	0.34	0.39	0.37	0.32	0.31	0.33
Cabbage	Red	1st	£/kg	0.31	0.30	0.29	0.31	0.33	0.35	0.37	0.31	0.30			
	Red	2nd	£/kg	0.26	0.26	0.25	0.26	0.27	0.28	0.30	0.26	0.27			
	Red	Ave	£/kg	0.30	0.29	0.29	0.30	0.31	0.33	0.36	0.30	0.30	0.28	0.30	0.28
	Savoy	1st	£/head	0.39	0.42	0.40	0.36	0.43	0.45	0.37	0.33	0.32			
	Savoy	2nd	£/head	0.31	0.32	0.31	0.31	0.30	0.37	0.27	0.23	0.23			
	Savoy	Ave	£/head	0.37	0.39	0.38	0.35	0.41	0.45	0.36	0.31	0.30	0.28	0.29	0.30
	Spring Greens - Loose	-	£/kg	1.34	1.42	1.47	0.50	0.50	0.43	0.42	0.40				
	Spring Greens - Prepacked	-	£/kg	1.70	1.76	1.60	1.08	0.81	0.73	0.72	0.72	0.72	0.64	0.66	0.65
	Summer & Autumn-Pointed	1st	£/kg		0.65		0.66	0.55	0.51	0.42	0.37	0.40			
	Summer & Autumn-Pointed	2nd	£/kg				0.60	0.43	0.38	0.34	0.30	0.34			
	Summer & Autumn-Pointed	Ave	£/kg				0.63	0.51	0.48	0.41	0.36	0.39	0.36	0.40	0.45
	Summer & Autumn-Round	1st	£/head	0.41				0.49	0.41	0.32	0.30	0.29			
	Summer & Autumn Round	2nd	£/head	0.29			0.40	0.38	0.31	0.24	0.23	0.23			
	Summer & Autumn Round	Ave	£/head	0.38				0.49	0.40	0.31	0.29	0.28	0.29	0.29	0.28
	White	1st	£/kg	0.28	0.30	0.28	0.28	0.30	0.28	0.27	0.26	0.25			
	White	2nd	£/kg	0.25	0.25	0.24	0.24	0.28	0.27	0.25	0.20	0.21			
	White	Ave	£/kg	0.28	0.29	0.27	0.27	0.30	0.28	0.27	0.25	0.25	0.25	0.25	0.26
	Winter Other	1st	£/head	0.40	0.39	0.37	0.33	0.34							
	Winter Other	2nd	£/head	0.32	0.35	0.30	0.23	0.29							
	Winter Other	Ave	£/head	0.38	0.38	0.36	0.32	0.34					0.28	0.28	0.30
Calabrese	All Varieties	-	£/kg	1.40				1.48	1.19	1.00	0.97	1.02	1.08	0.89	0.98
Capsicums	Green	1st	£/kg				2.05	1.08	1.05	0.83	0.70	0.63	0.66	0.91	0.95
	Green	2nd	£/kg						0.75	0.46	0.40	0.45	0.52	0.63	0.80
	Green	Ave	£/kg						0.99	0.63	0.53	0.48	0.56	0.69	0.87
	Red	1st	£/kg				2.00	0.99	1.02	0.78	0.64	0.64	0.66	0.66	0.82
	Red	2nd	£/kg					0.78	0.74	0.43	0.37	0.39	0.57	0.57	0.61
	Red	Ave	£/kg					0.97	0.95	0.56	0.47	0.44	0.58	0.58	0.67
Carrots	Topped-Washed	1st	£/kg	0.33	0.38	0.47	0.56	0.69	0.47	0.37	0.32	0.29			
	Topped-Washed	2nd	£/kg	0.23	0.25	0.29	0.37	0.38	0.30	0.23	0.19	0.19			
	Topped-Washed	Ave	£/kg	0.32	0.36	0.43	0.53	0.67	0.47	0.36	0.30	0.28	0.27	0.26	0.25
Cauliflowers	Kent	1st	£/head	0.90	0.83	0.63	0.49	0.60	0.47	0.42	0.55	0.54			
	Kent	2nd	£/head	0.62	0.55	0.48	0.34	0.39	0.32	0.31	0.40	0.36			
	Kent	Ave	£/head	0.87	0.78	0.60	0.45	0.56	0.43	0.39	0.47	0.48	0.55	0.44	0.41
	All Other	1st	£/head	0.69	0.70	0.53	0.44	0.52	0.53	0.45	0.53	0.45			
	All Other	2nd	£/head	0.54	0.55	0.40	0.32	0.35	0.36	0.32	0.36	0.34			
	All Other	Ave	£/head	0.66	0.68	0.49	0.40	0.45	0.47	0.41	0.50	0.41	0.54	0.41	0.38
Celery	All Washed	1st	£/kg					0.77	0.73	0.61	0.55	0.52			
	All Washed	2nd	£/kg							0.44	0.44	0.44			
	All Washed	Ave	£/kg							0.59	0.53	0.51	0.51	0.51	0.50
Courgettes	All Varieties	1st	£/kg						1.02	0.70	0.62	0.83			
	All Varieties	2nd	£/kg							0.47	0.42	0.58			
	All Varieties	Ave	£/kg							0.65	0.58	0.78	0.78	0.81	
Cucumbers	All Varieties	1st	£/kg		1.37	0.87	0.72	0.65	0.64	0.63	0.79	0.72			
	All Varieties	2nd	£/kg			0.58	0.51	0.45	0.43	0.42	0.46	0.43			
	All Varieties	Ave	£/kg			0.86	0.69	0.61	0.60	0.58	0.71	0.63	0.55	0.62	
Beans	Dwarf, French or Kidney	1st	£/kg							1.53	1.34	1.51			
	Dwarf, French or Kidney	2nd	£/kg							0.94	0.87	1.06			
	Dwarf, French or Kidney	Ave	£/kg							1.49	1.27	1.39	1.55		
Leeks	Trimmed	1st	£/kg	1.33	1.39	1.35	1.13	1.02		1.09	0.97	0.94			
	Trimmed	2nd	£/kg	0.98	1.03	0.92	0.75	0.75		0.77	0.77	0.77			
	Trimmed	Ave	£/kg	1.23	1.32	1.20	0.98	0.90		1.05	0.93	0.89	0.87	0.86	0.85
Lettuce	Butterhead – Indoor	1st	£/head	0.40	0.40	0.35	0.29	0.27	0.27	0.25	0.25	0.27	0.25	0.27	0.29
	Butterhead – Indoor	2nd	£/head	0.36	0.34	0.28	0.24	0.22	0.21	0.19	0.19	0.20	0.20		
	Butterhead – Indoor	Ave	£/head	0.40	0.40	0.34	0.29	0.27	0.26	0.25	0.24	0.26	0.25	0.27	0.29
	Cos	1st	£/head		0.70		0.66	0.45	0.45	0.42	0.43	0.44	0.38	0.38	
	Cos	2nd	£/head					0.25	0.27	0.30	0.30	0.28			
	Cos	Ave	£/head					0.45	0.44	0.40	0.40	0.41	0.38	0.38	
	Crisp-Iceberg Type	1st	£/head					0.31	0.31	0.28	0.28	0.29	0.30	0.31	
	Crisp-Iceberg Type	2nd	£/head					0.18	0.22	0.19	0.19	0.22	0.22	0.21	
	Crisp-Iceberg Type	Ave	£/head					0.31	0.30	0.26	0.26	0.28	0.29	0.31	
	Little Gem	1st	£/twin	0.64	0.61	0.52	0.50	0.44	0.44	0.42	0.41	0.42	0.40	0.42	0.53
	Little Gem	2nd	£/twin					0.30	0.30	0.35	0.28	0.26	0.27	0.27	
	Little Gem	Ave	£/twin					0.44	0.43	0.42	0.41	0.42	0.39	0.41	0.53
Mushrooms	Button – Indoor	-	£/kg	1.10	1.02		0.95	1.05	0.95	1.10		1.85	1.10		1.59
	Cup – Indoor	-	£/kg		1.04	0.99	0.87	1.05	1.52	1.43	1.26	1.10	1.48		1.71
	Flat – Indoor	-	£/kg	0.91	1.11	0.77	0.99	0.98	1.05	0.77	0.86		0.82	0.66	
Parsnips	All Varieties	-	£/kg	0.80	0.80	0.81	0.80	0.90	0.86	1.11	0.93	0.80	0.75	0.77	0.74
Rhubarb	Forced	-	£/kg	2.34	2.74	2.64	1.42	2.20							
	Outdoor	-	£/kg			1.38	0.89	0.88	0.92	0.98	0.89	0.92	0.93		
Runner Beans	Runner-Climbing	1st	£/kg						5.47	2.05	1.09	1.17			
	Runner-Climbing	2nd	£/kg							1.08	0.61	0.88			
	Runner-Climbing	Ave	£/kg							1.95	0.94	1.07	1.73		
Salad Onions	Salad	-	£/bunch					0.23	0.23	0.22	0.21	0.21	0.20	0.20	0.15
Shelling Peas	All Varieties	1st	£/kg						1.56	1.12	1.54	2.31			
	All Varieties	2nd	£/kg					2.16	1.42	1.01	1.21	1.39			
	All Varieties	Ave	£/kg						1.52	1.09	1.44	1.53	1.06	0.92	
Spinach	Leaf - Loose/bunches	1st	£/kg				0.59	0.67	0.60	0.60	0.57	0.51			
(new item at the start of 2007)	Leaf - Loose/bunches	2nd	£/kg				0.36	0.41	0.45	0.38	0.38	0.37			
	Leaf - Loose/bunches	Ave	£/kg				0.52	0.60	0.55	0.55	0.53	0.49	0.56	0.56	0.49
Swede	All Varieties	-	£/kg	0.36	0.35	0.34	0.33	0.33	0.38	0.40	0.35	0.32	0.30	0.30	0.30
Sweetcorn	All Varieties	-	£/cob							0.23	0.20	0.18	0.17	0.16	
Tomatoes	Round	1st	£/kg			1.99	1.57	0.97	0.79	0.74	0.64	0.73	0.64	0.65	0.48
	Round	2nd	£/kg				0.92	0.50	0.37	0.39	0.35	0.37	0.73	0.38	0.42
	Round	Ave	£/kg				1.51	0.85	0.66	0.63	0.54	0.66	0.64	0.49	0.43
	Vine	1st	£/kg		2.08	2.00	1.73	1.05	0.90	0.86	0.68	0.81	0.58	0.81	
	Vine	2nd	£/kg			1.75	1.07	0.65	0.54	0.35	0.35	0.41		0.66	
	Vine	Ave	£/kg			1.95	1.70	0.96	0.87	0.80	0.61	0.77	0.58	0.78	
	Cherry	1st	£/kg			4.80	3.17	2.18	1.92	2.11	1.73	2.14	2.38	1.93	
	Cherry	2nd	£/kg					1.59	1.31	1.44		0.97	1.60	1.60	
	Cherry	Ave	£/kg					2.13	1.89	2.02		2.07	2.32	1.91	
	Plum	1st	£/kg			2.22	1.67	0.98	0.78	0.80	0.64	0.71	0.39	0.88	
	Plum	2nd	£/kg							0.40	0.34		0.50	0.50	
	Plum	Ave	£/kg							0.73	0.64		0.40	0.82	
Turnip	All Varieties	-	£/kg	0.91	0.93	0.89	0.84	1.06	1.13	0.95	0.86	0.87	0.87	0.89	0.89
Watercress	All Varieties	-	£/bunch	0.52	0.48	0.47	0.44	0.42	0.45	0.46	0.45	0.46	0.26	0.46	0.45
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.88	0.93	0.94	0.78	0.79	0.83	0.73	0.73	0.79	0.87	0.92	0.98
Chrysanthemums Flowers	Indoor-bloom	-	£/bloom	0.30					0.50	0.35	0.40	0.35	0.36	0.35	0.33
	Indoor-spray	-	£/spray	0.16	0.27	0.18	0.13	0.14	0.15	0.16	0.15	0.15	0.15	0.14	0.19
Gladioli	All Varieties	-	£/bunch(1)						0.91	0.64	0.60	0.63	0.60	0.63	
Irises	Indoor	-	£/bunch(1)			0.68	0.63	0.54	0.47	0.56	0.55				
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.59	0.57	0.49	0.40						0.52	0.61	0.58
Oriental Lilies	Homegrown	-	£/stem		0.66	0.63	0.63	0.62	0.57	0.53	0.55	0.55	0.56	0.58	0.59
Pinks	All Varieties	-	£/bunch(3)					0.46	0.35	0.33	0.34	0.33	0.35	0.35	0.31
Tulips	Indoor	-	£/bunch(4)	0.84	0.83	0.81	0.75	0.69							0.95
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	1.25	1.11	1.31	1.28	1.32	1.17	1.24	1.28	1.25	1.16	1.03	1.29
Cyclamen	13cm	-	£ each	0.90	0.87							1.00	1.03	1.16	1.32
Poinsettia	13cm	-	£ each											1.78	2.71
Chrysanthemum	13cm	-	£ each	0.93	0.94	1.11	1.11	1.19	1.12	1.04	1.14	1.15	1.10	1.08	1.19
2010		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg							5.73	6.29	4.65	11.46		
Blackcurrants	All Varieties	-	£/kg							4.92	4.65	4.95			
Cherries	Sweet Black	-	£/kg						2.31	2.11	2.65				
	Sweet White	-	£/kg							2.21	2.01				
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.59	0.58	0.65	0.66	0.63	0.62	0.62	0.68	0.65	0.59	0.62	0.64
	Bramley’s Seedling	2nd	£/kg	0.36	0.39	0.40	0.41	0.42	0.46	0.44	0.49	0.47	0.43	0.41	0.44
	Bramley’s Seedling	Ave	£/kg	0.56	0.53	0.60	0.62	0.59	0.58	0.54	0.62	0.61	0.56	0.57	0.61
Damsons	All Varieties	-	£/kg								1.15	0.95			
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.70	0.79	0.88	0.80					0.87	0.63	0.67	0.72
	Cox’s Orange-group	2nd	£/kg	0.41	0.48	0.51	0.48					0.55	0.45	0.45	0.46
	Cox’s Orange-group	Ave	£/kg	0.63	0.71	0.84	0.75					0.87	0.62	0.64	0.69
	Discovery	1st	£/kg								0.72	0.53			
	Discovery	2nd	£/kg								0.49	0.33			
	Discovery	Ave	£/kg								0.70	0.50			
	Egremont Russet	1st	£/kg	0.67	0.71	0.79	0.72	0.62				0.85	0.74	0.74	0.74
	Egremont Russet	2nd	£/kg	0.49	0.45	0.47	0.42						0.66	0.56	0.52
	Egremont Russet	Ave	£/kg	0.66	0.68	0.77	0.72	0.62				0.85	0.74	0.74	0.73
	Spartan	1st	£/kg										0.62	0.63	0.58
	Spartan	2nd	£/kg											0.55	
	Spartan	Ave	£/kg										0.62	0.63	0.58
	Worcester Pearmain	1st	£/kg									0.56	0.47	0.43	
	Worcester Pearmain	2nd	£/kg									0.22			
	Worcester Pearmain	Ave	£/kg									0.52	0.47	0.43	
	Red Pippin	1st	£/kg									0.62	0.49		
	Red Pippin	2nd	£/kg												
	Red Pippin	Ave	£/kg									0.62	0.49		
	Gala	1st	£/kg	0.55	0.67	0.71	0.62	0.57	0.56			0.77	0.62	0.60	0.64
	Gala	2nd	£/kg	0.37	0.47	0.43	0.39	0.37	0.37				0.44		0.50
	Gala	Ave	£/kg	0.52	0.65	0.65	0.53	0.50	0.45			0.77	0.62	0.60	0.64
	Other Early Season	-	£/kg								0.61	0.63	0.61		
	Other Mid Season	-	£/kg	0.51	0.57	0.61							0.56	0.58	0.65
	Other Late Season	-	£/kg	0.54	0.59	0.65	0.58	0.54	0.52				0.77	0.66	0.65
	Jonogold – group	1st	£/kg	0.43	0.56	0.61	0.55	0.58	0.42				0.56	0.50	0.49
	Jonogold – group	2nd	£/kg	0.34											
	Jonogold – group	Ave	£/kg	0.42	0.56	0.61	0.55	0.58	0.42				0.56	0.50	0.49
Gooseberries	All Varieties	-	£/kg						3.15	2.29	2.43				
Pears	Conference	1st	£/kg	0.52	0.53	0.53	0.56	0.60	0.57	0.55	0.71	0.67	0.57	0.57	0.57
	Conference	2nd	£/kg	0.39	0.35	0.36	0.44	0.41	0.34	0.34		0.51	0.38	0.29	0.32
	Conference	Ave	£/kg	0.50	0.50	0.51	0.53	0.50	0.37	0.37	0.71	0.66	0.54	0.50	0.50
	Doyenne Du Comice	1st	£/kg	0.60	0.57	0.59	0.56	0.46				0.86	0.61	0.61	0.61
	Doyenne Du Comice	2nd	£/kg	0.38	0.40								0.44	0.39	0.39
	Doyenne Du Comice	Ave	£/kg	0.58	0.57	0.59	0.56	0.46				0.86	0.60	0.60	0.55
