2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
	Cherry	2nd	£/kg										1.44		
	Cherry	Ave	£/kg										1.87		
	Plum	1st	£/kg				1.23	0.90	0.69	0.73	0.62	0.66	0.99	0.88	0.63
	Plum	2nd	£/kg				0.67	0.38	0.36	0.33	0.31	0.31		0.25	
	Plum	Ave	£/kg				1.18	0.63	0.54	0.64	0.57	0.58		0.41	
Turnip	All Varieties	-	£/kg	0.45	0.41	0.40	0.46	0.55	0.53	0.57	0.55	0.44	0.47	0.48	0.49
Watercress	All Varieties	-	£/bunch	0.33	0.32	0.33	0.33	0.31	0.33	0.34	0.32	0.32	0.34	0.35	0.40
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.93	0.96	0.95	0.86	0.71	0.72	0.81	0.71	0.80	0.86	0.92	0.95
Anemones	10 Stems	-	£/bunch(3)	0.39	0.41	0.32	0.32	0.41	0.46						
Asian Lillies	Homegrown	-	£/bunch(1)	1.07	0.93	1.06	0.91	0.98	0.79	0.73	0.72	0.73			
Chrysanthemums Flowers	Indoor-bloom	-	£/bloom	0.28	0.31	0.42	0.33	0.32	0.31	0.28	0.31	0.32	0.29	0.33	0.42
	Indoor-spray	-	£/spray	0.20	0.23	0.22	0.24	0.15	0.15	0.15	0.15	0.15	0.17	0.16	0.19
Gladioli	All Varieties	-	£/bunch(1)			0.58			0.49	0.58	0.37	0.39	0.56		
Irises	Indoor	-	£/bunch(1)	0.36		0.38	0.37	0.35	0.38	0.52	0.30		0.47	0.45	0.37
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.38	0.31	0.28	0.15							0.47	0.39
Oriental Lilies	Homegrown	-	£/stem	0.50	0.47	0.45	0.36	0.38	0.38	0.43	0.39	0.37	0.37	0.49	0.49
Pinks	All Varieties	-	£/bunch(3)	0.39	0.39	0.44	0.24	0.28	0.22	0.24	0.23	0.21	0.21	0.20	
