Year,Variety,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,Cox,0.46,0.48,0.54,0.51,0.55,,,,0.44,0.41,0.41,0.45
2014,Cox,0.70,0.68,0.85,0.80,0.91,,,1.03,0.74,0.64,0.62,0.65
2014,Discovery,,,,,,,,0.62,0.50,0.54,,
2014,Discovery,,,,,,,,0.46,0.40,,,
2014,Discovery,,,,,,,,0.61,0.49,0.54,,
2014,Egremont Russet,0.71,0.72,0.81,0.83,0.78,,,0.88,0.78,0.65,0.71,0.71
2014,Egremont Russet,0.46,0.51,0.52,0.61,0.59,,,1.07,0.50,0.44,0.45,0.45
2014,Egremont Russet,0.68,0.70,0.77,0.81,0.77,,,0.93,0.76,0.62,0.69,0.69
2014,Other Dessert Apples,0.65,0.65,,,,,,,0.84,0.63,0.59,0.59
2014,Other Dessert Apples,0.30,0.51,,,,,,,,0.33,0.61,0.42
2014,Other Dessert Apples,0.62,0.64,,,,,,,0.84,0.62,0.60,0.59
2014,Worcester Pearmain,,,,,,,,0.84,0.66,0.50,0.49,
2014,Worcester Pearmain,,,,,,,,,,,,
2014,Worcester Pearmain,,,,,,,,0.84,0.66,0.50,0.49,
2014,Other Dessert Apples,0.53,,,,,,,,,,,
2014,Other Dessert Apples,,,,,,,,,,,,
2014,Other Dessert Apples,0.53,,,,,,,,,,,
2014,Braeburn,,,0.71,0.63,0.81,,,,,0.63,0.65,0.62
2014,Braeburn,,,0.55,0.52,0.55,,,,,0.44,0.47,0.51
2014,Braeburn,,,0.70,0.63,0.72,,,,,0.63,0.65,0.62
2014,Gala,0.69,0.72,0.80,0.79,0.74,,,,0.69,0.63,0.67,0.64
2014,Gala,0.15,0.45,0.56,0.50,0.50,,,,,0.44,0.49,0.49
2014,Gala,0.69,0.70,0.79,0.75,0.72,,,,0.69,0.63,0.66,0.63
2014,Other Dessert Apples,,,,,,,,0.71,0.59,0.47,0.55,
2014,Other Dessert Apples,0.70,0.77,,,,,,,,0.56,0.52,0.49
2014,Other Dessert Apples,0.74,0.67,0.67,0.71,0.63,,,,,0.54,0.63,0.60
2014,Jonogold – group,,0.51,,,,,,,,0.56,0.58,0.58
2014,Jonogold – group,,,,,,,,,,,0.46,
2014,Jonogold – group,,0.51,,,,,,,,0.56,0.57,0.58
2015,Cox,0.71,0.79,0.93,,,,,,,,,
2015,Cox,0.47,0.56,0.65,,,,,,,,,
2015,Cox,0.69,0.78,0.89,1.00,,,,,,,,
2015,Discovery,,,,,,,,,,,,
2015,Discovery,,,,,,,,,,,,
2015,Discovery,,,,,,,,,,,,
2015,Egremont Russet,0.73,0.78,0.75,,,,,,,,,
2015,Egremont Russet,0.53,0.58,0.57,,,,,,,,,
2015,Egremont Russet,0.73,0.77,0.74,,,,,,,,,
2015,Other Dessert Apples,0.54,,,,,,,,,,,
2015,Other Dessert Apples,,,,,,,,,,,,
2015,Other Dessert Apples,0.54,,,,,,,,,,,
2015,Worcester Pearmain,,,,,,,,,,,,
2015,Worcester Pearmain,,,,,,,,,,,,
2015,Worcester Pearmain,,,,,,,,,,,,
2015,Braeburn,0.64,0.63,0.61,0.61,0.63,,,,,,,
2015,Braeburn,0.45,0.45,0.44,0.47,0.46,,,,,,,
2015,Braeburn,0.62,0.61,0.59,0.59,0.62,,,,,,,
2015,Gala,0.74,0.70,0.67,0.70,0.66,,,,,,,
2015,Gala,0.48,0.52,0.48,0.50,,,,,,,,
2015,Gala,0.72,0.69,0.64,0.68,0.66,,,,,,,
2015,Other Dessert Apples,,,,,,,,,,,,
2015,Other Dessert Apples,,,,,,,,,,,,
2015,Other Dessert Apples,0.66,0.59,0.57,0.63,0.64,,,,,,,
2015,Jonogold – group,0.58,,,0.71,0.68,,,,,,,
2015,Jonogold – group,0.44,,,,,,,,,,,
2015,Jonogold – group,0.58,,,0.71,0.68,,,,,,,
