ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
14630,885,4006,116932,The De Montfort School, ,CY,1,23%,55%,22%,44.9,9.6,9.1,13.2,12.3,55%,45%,25.4,47,62.9,NA,6%,50%
15228,885,6016,117022,Dodderhill School, ,IND,0,NP,NP,NP,63.9,13.1,12,20.2,18.7,95%,95%,NP,NP,NP,NA,65%,95%
15700,885,4005,136927,Droitwich Spa High School and Sixth Form Centre, ,ACC,0,15%,61%,24%,51.8,11.2,10.6,14.8,14.2,71%,61%,32.1,50.9,66,NA,32%,60%
15994,885,4801,137186,Dyson Perrins CofE Academy, ,ACC,0,23%,47%,30%,49.4,10.1,9.9,13.7,12.6,63%,59%,30.2,50.5,63,NA,29%,52%
22016,885,4800,141414,Hagley Catholic High School, ,ACC,0,8%,46%,47%,54.1,11.5,10.6,15.8,15.5,80%,82%,28.3,48.4,63.7,58.4,28%,68%
22416,885,4500,137101,Hanley Castle High School, ,ACC,0,10%,49%,40%,55.2,11.5,10.5,16.4,15.4,72%,71%,28.9,53.2,65,NA,46%,69%
23282,885,4010,136898,Haybridge High School and Sixth Form, ,ACC,0,9%,49%,42%,58,11.5,12,16,17.2,83%,83%,32.8,55.7,65.8,NA,40%,77%
23622,885,6014,117020,Heathfield School, ,IND,0,NP,NP,NP,59.9,12.7,11.8,17.6,17.9,89%,89%,NP,NP,NP,NA,29%,89%
25688,885,6009,141105,Holy Trinity School, ,F,1,13%,50%,37%,57.8,12.2,10.6,17.3,17,77%,34%,SUPP,60.7,68.2,NA,0%,71%
28224,885,4501,138032,King Charles I School, ,ACC,0,18%,54%,28%,52,11.1,10.4,14.6,13.8,72%,66%,32.6,52.1,65,NA,14%,70%
28598,885,6027,117037,The King's School, ,IND,0,NP,NP,NP,45.3,6.8,2.5,20.2,12.9,16%,6%,NP,NP,NP,NA,0%,0%
32240,885,6031,117044,Madinatul Uloom Al Islamiya School, ,IND,0,NP,NP,NP,43.6,9,8.7,13.9,7.5,44%,54%,NP,NP,NP,NA,38%,44%
32426,885,6011,117017,Malvern College, ,IND,0,NP,NP,NP,22.7,0,0,13.9,5.8,0%,0%,NP,NP,NP,NA,0%,0%
32434,885,6012,117018,Malvern St James, ,IND,0,NP,NP,NP,42.8,6.7,0,20.4,10.1,0%,0%,NP,NP,NP,NA,0%,0%
36762,885,4002,116928,North Bromsgrove High School, ,CY,0,25%,47%,27%,45.8,10.2,9.4,12.8,13.2,55%,63%,26.4,47.4,60.6,NA,30%,52%
37464,885,4434,137051,Nunnery Wood High School, ,ACC,0,21%,47%,32%,53.6,11.4,10.5,15.3,15.7,69%,69%,37.4,51.8,66.6,NA,24%,66%
40480,885,4030,136925,Pershore High School, ,ACC,0,15%,54%,31%,52,10.9,10.2,15.2,13.1,68%,68%,28.4,51,65.2,NA,25%,64%
41432,885,5403,136469,Prince Henry's High School, ,ACC,0,17%,56%,27%,54.2,11,10.1,15.4,11.7,69%,70%,30.9,55.1,66.9,NA,35%,65%
43236,885,4422,139029,Ridgeway Academy, ,ACC,1, , , , , , , , , , , , , ,NA,NA, 
43436,885,6030,117041,The River School, ,IND,0,NP,NP,NP,37.7,4.2,9.3,12.7,11.5,50%,31%,NP,NP,NP,NA,0%,0%
44320,885,6028,117038,Royal Grammar School Worcester, ,IND,0,NP,NP,NP,45.9,6.6,0,20.5,12.4,0%,0%,NP,NP,NP,NA,0%,0%
45544,885,5400,141063,St Augustine's Catholic High School, ,ACC,0,22%,58%,20%,56.6,11.1,11.2,15.6,14.5,79%,71%,42.2,57.8,70,NA,26%,75%
50162,885,6036,117046,Saint Michael's College, ,IND,0,NP,NP,NP,4,0,0.3,1.6,2,0%,0%,NP,NP,NP,NA,0%,0%
54180,885,4003,140292,South Bromsgrove High, ,ACC,0,14%,55%,31%,53.2,10.9,10.5,15.7,13.7,74%,70%,32.6,52.3,63.8,NA,51%,67%
55916,885,4004,137162,The Stourport High School and Sixth Form Centre, ,ACC,0,14%,54%,32%,51,10.6,10.3,14.2,11.9,61%,60%,29.6,48.7,64.5,NA,27%,60%
57076,885,4013,141169,Tenbury High Ormiston Academy, ,AC,0,14%,52%,35%,53.5,11,10.3,16.1,14.9,70%,69%,30.8,51.3,65.4,NA,33%,70%
58416,885,4437,137167,Trinity High School and Sixth Form Centre, ,ACC,0,26%,46%,28%,45,9.6,9.1,11.6,10.5,55%,61%,26.6,46,60.7,NA,11%,49%
58538,885,4438,140731,Tudor Grange Academy Redditch, ,ACC,0,27%,51%,22%,46.5,9.8,9.6,12.9,12.6,52%,55%,33.5,46.9,62.2,NA,11%,45%
58540,885,6905,135913,Tudor Grange Academy Worcester, ,AC,0,15%,57%,28%,47.2,10.5,10,12.6,13,60%,54%,26.2,44.3,64.4,NA,16%,50%
60052,885,4044,138664,Waseley Hills High School, ,ACC,0,19%,57%,24%,45.9,9.6,8.5,13.4,13.1,46%,54%,26.9,46.5,59.2,NA,23%,43%
63078,885,4503,135061,Wolverley CofE Secondary School, ,VC,0,23%,55%,23%,50.2,10.9,9.2,13.8,13.6,57%,49%,29.9,52.8,63.7,NA,15%,54%
63546,885,4017,136924,Woodrush Community High School, ,ACC,0,8%,56%,37%,55.3,11.6,10.3,14.8,12.5,71%,64%,36.3,51.4,65.5,NA,16%,69%
138,886,4242,137154,The Abbey School, ,ACC,0,25%,60%,15%,45.3,9.9,8.3,11.9,8.7,48%,46%,29.4,48.7,57.5,NA,13%,43%
2214,886,5426,118898,The Archbishop's School, ,FD,0,14%,71%,15%,45.2,9.6,8.9,12.9,9.4,56%,54%,26.4,46.8,55.6,NA,26%,50%
2646,886,6000,118937,Ashford School, ,IND,0,NP,NP,NP,47.1,10.1,0,19.4,16.9,0%,0%,NP,NP,NP,NA,0%,0%
2908,886,4113,138167,Astor College (A Specialist College for the Arts), ,ACC,0,31%,68%,1%,40.8,9.4,7.3,9.5,7.7,35%,34%,30,45.2,SUPP,NA,0%,27%
3184,886,5410,118882,Aylesford School - Sports College, ,FD,0,23%,62%,14%,41,9.2,8.3,9.9,10.8,42%,38%,27.4,43.2,52.6,NA,0%,35%
3824,886,5444,137474,Barton Court Grammar School, ,ACC,0,0%,25%,75%,64.6,13.1,12.9,19.3,19.2,96%,96%,NE,59.4,66.4,NA,78%,94%
4486,886,6011,118949,Beechwood Sacred Heart School, ,IND,0,NP,NP,NP,45.2,1.9,11.6,16.1,15.7,10%,27%,NP,NP,NP,NA,3%,10%
4812,886,6002,118939,Benenden School, ,IND,0,NP,NP,NP,47.4,14.4,0.2,14.8,17.8,1%,0%,NP,NP,NP,NA,0%,1%
4848,886,5464,136603,Bennett Memorial Diocesan School, ,ACC,0,14%,54%,32%,56.7,11,11.4,16.7,17.5,79%,77%,38.5,55.6,66.8,56,43%,71%
5040,886,6036,118978,Bethany School, ,IND,0,NP,NP,NP,48.8,10,10.7,13.9,14.3,61%,64%,NP,NP,NP,NA,10%,54%
6324,886,4527,137800,Borden Grammar School, ,ACC,0,0%,25%,75%,63.9,12.8,12.3,19.9,17.6,97%,95%,NE,58.5,65.7,NA,65%,96%
7806,886,5466,137458,Brockhill Park Performing Arts College, ,ACC,0,18%,71%,10%,45.9,9.9,7.7,10.7,9.4,46%,44%,31.2,48,55.8,NA,5%,40%
9454,886,5421,136302,The Canterbury Academy, ,ACC,0,22%,66%,12%,44.3,9.5,8.5,10.5,6.1,49%,46%,30.8,46.8,56.2,NA,2%,44%
9470,886,6052,119000,Canterbury Steiner School Ltd, ,IND,0,NP,NP,NP,40.6,9.4,9.4,11.2,10.7,25%,54%,NP,NP,NP,NA,26%,25%
10052,886,6075,131411,CATS Canterbury, ,IND,0,NP,NP,NP,0.9,0,0,0.9,0,0%,0%,NP,NP,NP,NA,SUPP,0%
10548,886,5438,118910,The Charles Dickens School, ,FD,0,21%,64%,15%,44.8,10.7,8.9,11.1,9.5,60%,44%,31.4,47.4,57.9,NA,9%,49%
10708,886,5462,136382,Chatham & Clarendon Grammar School, ,ACC,0,0%,21%,79%,65,14,12.8,19.2,19,99%,97%,NE,59.7,66.3,NA,55%,96%
12332,886,6044,118991,Cobham Hall, ,IND,0,NP,NP,NP,53.2,11.7,12.6,13,15.8,85%,73%,NP,NP,NP,NA,0%,77%
12708,886,4091,118803,The Community College Whitstable, ,CY,0,26%,62%,12%,44,9.5,8.7,11.7,10.1,41%,39%,33.6,45.8,60.7,NA,10%,35%
13116,886,6913,135371,Cornwallis Academy, ,AC,0,28%,64%,8%,45.2,10.9,8.9,12,11.5,59%,53%,29.2,49.8,59.8,NA,12%,51%
13540,886,5416,137739,Cranbrook School, ,ACC,0,0%,38%,63%,66.4,12.7,13.5,20.7,19.2,99%,99%,NE,58.9,66.8,NA,SUPP,95%
14312,886,5460,136585,Dane Court Grammar School, ,ACC,0,0%,16%,84%,64.4,13,13.1,19.8,18.5,100%,95%,NE,55.7,66.1,NA,72%,99%
14426,886,5406,136359,Dartford Grammar School, ,ACC,0,0%,8%,92%,72.3,14.5,14.5,22.1,20.4,99%,99%,NE,65.5,72.9,70.6,98%,99%
14428,886,5411,118883,Dartford Grammar School for Girls, ,FD,0,0%,6%,94%,70.9,14.2,14.1,21.4,21.3,99%,99%,NE,64.8,71.4,NA,74%,99%
14432,886,4026,118785,Dartford Science & Technology College, ,FD,0,21%,68%,12%,48.7,11.2,8.9,12.5,11.5,60%,56%,29.2,52.2,60.6,48.9,27%,60%
15456,886,6917,136175,Dover Christ Church Academy, ,AC,0,34%,55%,11%,41.2,8.8,8.1,9.7,8.1,41%,42%,27.5,46.8,52.2,NA,0%,36%
15458,886,6003,118940,Dover College, ,IND,0,NP,NP,NP,49.1,8.3,11.3,14.3,13.1,54%,49%,NP,NP,NP,NA,13%,50%
15462,886,5459,118931,Dover Grammar School for Boys, ,FD,0,0%,27%,73%,61.7,12.4,12.5,18,17.3,99%,92%,NE,57.6,63.2,NA,31%,97%
15464,886,4109,118806,Dover Grammar School for Girls, ,CY,0,0%,25%,75%,65.3,13.8,12.7,19.7,18.6,98%,97%,NE,59.7,67.1,NA,80%,97%
15792,886,6918,136177,Duke of York's Royal Military School, ,AC,0,17%,49%,34%,54.7,11,10.7,15.3,12.2,77%,66%,33.6,56.4,61.6,NA,SUPP,75%
16080,886,6138,138405,Earlscliffe (Sussex Summer Schools Ltd), ,IND,0,NP,NP,NP,25.9,0.4,10.3,5.9,9.2,8%,5%,NP,NP,NP,NA,NA,0%
16474,886,4001,137581,The Ebbsfleet Academy, ,AC,0,42%,47%,12%,44.8,9.7,9.4,9.8,8,60%,52%,35.1,48,64.4,NA,4%,55%
18818,886,6104,134452,Focus School - Linton Park Campus, ,IND,0,NP,NP,NP,50,10.7,10.1,15.9,13.3,72%,69%,NP,NP,NP,NA,31%,67%
18860,886,6908,135195,Folkestone Academy, ,AC,1,31%,61%,8%,39.6,8.4,7.9,9.1,3.2,37%,41%,27.4,44,51.1,NA,3%,31%
18862,886,5437,137837,The Folkestone School for Girls, ,ACC,0,0%,27%,73%,67.3,14.8,13.3,19.4,17.4,99%,99%,NE,62.3,69.2,NA,65%,99%
19554,886,5414,136324,Fulston Manor School, ,ACC,0,16%,64%,20%,46.3,9.8,8.6,12.9,13,50%,51%,31.1,46.3,58.3,NA,12%,46%
19646,886,6007,118944,Gad's Hill School, ,IND,0,NP,NP,NP,51.3,10.6,10.8,14.5,15.5,70%,63%,NP,NP,NP,NA,27%,47%
20956,886,5465,137099,Gravesend Grammar School, ,ACC,0,0%,12%,88%,65.4,13.1,13.5,19.9,18.9,100%,99%,NE,60.3,66.2,65,64%,97%
21990,886,4009,139697,Hadlow Rural Community School, ,F,0,53%,40%,7%,39,9.3,7.6,9.5,6.7,13%,27%,36,39.2,SUPP,43.1,12%,13%
22928,886,4172,136571,Hartsdown Academy, ,ACC,0,46%,47%,7%,28.7,7.2,5.7,6.1,3.5,28%,30%,17.7,37.9,44.8,NA,2%,18%
22948,886,4101,138480,The Harvey Grammar School, ,ACC,0,0%,27%,73%,63.5,12.5,12.4,18.5,9.4,97%,97%,NE,59.1,65,NA,42%,93%
23326,886,5455,136349,The Hayesbrook School, ,ACC,0,24%,60%,16%,46.7,9.5,9.5,12.2,9.9,64%,59%,32.5,48.1,61.1,NA,12%,55%
24012,886,5448,136465,Herne Bay High School, ,ACC,0,22%,63%,15%,46.5,9.6,9,12.4,10.8,53%,47%,30.2,48.6,60.2,NA,12%,49%
24366,886,4003,138236,High Weald Academy, ,AC,0,35%,53%,13%,43.1,9.6,9,10.7,6.3,56%,49%,26.5,49.6,60.9,NA,5%,49%
24598,886,4080,136305,Highsted Grammar School, ,ACC,0,0%,18%,82%,64.6,13.6,12.2,19.6,19.3,98%,98%,NE,58.7,65.9,NA,83%,97%
24628,886,4092,136379,Highworth Grammar School, ,ACC,0,0%,14%,86%,68.1,13.9,13.2,20.3,20.4,99%,99%,NE,60.6,69.3,NA,88%,98%
24866,886,5450,137104,Hillview School for Girls, ,ACC,0,19%,60%,21%,49.1,10.5,9.6,12.7,11.6,59%,61%,34.9,49.1,61.3,NA,23%,54%
25290,886,4065,118796,The Holmesdale School, ,FD,0,16%,66%,18%,41,9.1,7.9,10.5,7.1,29%,34%,29.7,40.4,54.3,NA,2%,25%
25788,886,5408,137484,Homewood School and Sixth Form Centre, ,ACC,0,19%,65%,16%,42.2,9.3,8.6,11.2,11.6,48%,52%,27.1,43.8,54.9,NA,12%,41%
26266,886,5431,118903,Hugh Christie Technology College, ,FD,0,36%,53%,11%,41.6,9.5,8.7,10.7,9,48%,49%,26.2,48.3,56,NA,8%,39%
26934,886,4058,136582,Invicta Grammar School, ,ACC,0,0%,14%,86%,70.5,14,14.1,21,21.4,99%,99%,NE,65.4,71.4,NA,64%,99%
27534,886,6919,136197,The John Wallis Church of England Academy, ,AC,1,44%,49%,7%,43.6,8.8,8.3,11.8,11.2,39%,45%,33.1,49.5,61.5,NA,10%,34%
27642,886,4622,118843,The Judd School, ,VA,0,0%,0%,100%,74.9,14.9,15.2,22.9,21.7,99%,99%,NE,NE,74.8,NA,SUPP,98%
27892,886,6053,119001,Kent College (Canterbury), ,IND,0,NP,NP,NP,44.5,11.4,0,17.9,15.2,0%,1%,NP,NP,NP,NA,1%,0%
27894,886,6097,134582,Kent College International Study Centre, ,IND,0,NP,NP,NP,29.5,0,0,20,8.9,0%,0%,NP,NP,NP,NA,0%,0%
27898,886,6009,118946,Kent College Pembury, ,IND,0,NP,NP,NP,33.3,0,10.1,8.5,14.7,0%,0%,NP,NP,NP,NA,0%,0%
28322,886,4120,136584,King Ethelbert School, ,ACC,0,22%,64%,15%,48,10.9,9.2,12.3,9.5,56%,55%,32.5,50,63.1,NA,9%,53%
28620,886,6048,118996,The King's School Canterbury, ,IND,0,NP,NP,NP,26.8,6.8,0.1,11.9,6.8,1%,0%,NP,NP,NP,NA,0%,0%
29200,886,6905,136128,Knole Academy, ,AC,0,20%,63%,17%,47.6,10.6,8.2,12.4,9.2,50%,52%,32.6,49.2,60.6,NA,7%,47%
30392,886,6910,135297,The Leigh Academy, ,AC,0,12%,64%,24%,49.4,10.3,9.8,13,10.8,63%,54%,34.9,49,57.9,NA,12%,54%
30436,886,4012,140987,The Leigh UTC, ,FUTC,0,32%,60%,8%,42.8,9.7,9.2,10.2,7.8,49%,49%,34,45.5,SUPP,NA,NA,38%
31490,886,6914,135630,Longfield Academy, ,AC,0,22%,59%,20%,46.5,10.6,9,12.5,9.3,57%,58%,27.7,49.2,58.8,NA,7%,51%
32312,886,4522,118835,Maidstone Grammar School, ,FD,0,0%,15%,85%,65.7,12.2,13.9,20.6,13.6,96%,97%,NE,57.8,66.9,NA,0%,89%
32314,886,4523,118836,Maidstone Grammar School for Girls, ,FD,0,0%,19%,81%,67.4,13.6,13.4,20,20.4,99%,99%,NE,63.2,68.3,68.5,90%,98%
32362,886,5425,118897,The Malling School, ,FD,0,32%,50%,17%,44.8,9.8,9,12.4,10.2,45%,35%,30.6,47.8,60.7,36.5,2%,44%
32828,886,5401,137833,The Maplesden Noakes School, ,ACC,0,15%,70%,15%,49.6,10.6,9.7,13.6,12.8,63%,51%,34.8,50.1,63.1,NA,19%,56%
33100,886,6909,135290,The Marsh Academy, ,AC,0,35%,55%,11%,44.1,10.2,7.5,10.2,9.1,39%,41%,35.2,46.7,60.7,41.2,6%,37%
33286,886,5439,136847,Mascalls Academy, ,ACC,0,21%,60%,19%,48.7,10.6,8.9,13.5,13.7,60%,54%,33,49.6,62.3,45.5,17%,57%
33374,886,5467,137834,"Mayfield Grammar School, Gravesend", ,ACC,0,0%,17%,83%,65.1,13.5,12.7,19.5,19,98%,97%,NE,61.4,65.7,NA,51%,96%
33820,886,4004,139075,Meopham School, ,AC,0,25%,64%,11%,49.9,10.8,9.6,13.7,6.8,74%,51%,40.1,53.1,55,NA,11%,66%
35966,886,6912,135372,New Line Learning Academy, ,AC,0,36%,55%,8%,37.4,9.2,6.4,8.7,7.3,30%,38%,26.7,40.9,54.7,NA,9%,24%
36968,886,4246,118832,The North School, ,CY,0,23%,63%,13%,42.9,9.6,8.7,11.2,11.9,56%,41%,28.1,45.3,55.4,NA,2%,44%
37166,886,4040,118788,Northfleet School for Girls, ,FD,0,28%,58%,15%,47.2,10.2,9.7,12.9,10.4,62%,57%,29.9,50.4,61.5,NA,20%,56%
37168,886,5456,118928,Northfleet Technology College, ,FD,0,21%,67%,12%,49.6,11,10.2,12.1,7.7,70%,61%,36,52.6,59.2,NA,7%,54%
37326,886,4528,138019,The Norton Knatchbull School, ,ACC,0,0%,13%,87%,65.2,12.4,13.1,20.1,19.6,98%,96%,NE,57.8,66.3,NA,67%,97%
37908,886,5422,136727,Oakwood Park Grammar School, ,ACC,0,0%,26%,74%,61.1,12.4,13.7,16.4,18.6,98%,95%,NE,57.7,62.4,62.3,58%,85%
37998,886,6915,135721,Oasis Academy Isle of Sheppey, ,AC,0,36%,54%,10%,37.4,9,7,7.8,5.7,33%,27%,25.7,42.4,52.5,NA,3%,30%
38520,886,4031,136304,Orchards Academy, ,ACC,0,32%,63%,5%,48.5,10.1,9.3,12.6,10,52%,54%,37.8,51.8,SUPP,NA,6%,49%
40358,886,5458,118930,Pent Valley Technology College, ,FD,0,30%,62%,8%,38,7.9,7.8,8.6,4.6,18%,21%,24.6,41.4,53.6,NA,1%,18%
41914,886,5449,136570,Queen Elizabeth's Grammar School, ,ACC,0,0%,17%,83%,64.2,12.5,13.1,19.3,19.1,99%,97%,NE,58.6,65.4,NA,SUPP,93%
42204,886,6018,118957,Radnor House Sevenoaks, ,IND,0,NP,NP,NP,58.3,13.2,12.2,12.9,20,93%,60%,NP,NP,NP,NA,0%,93%
44326,886,5468,135826,The Royal Harbour Academy, ,FD,0,37%,54%,10%,31.8,7,5.2,7.4,5.1,19%,24%,20.2,35.7,49.4,NA,3%,16%
44718,886,6058,119007,Sackville School, ,IND,0,NP,NP,NP,50.5,11.2,10.9,11.6,16.5,81%,73%,NP,NP,NP,NA,21%,71%
45446,886,5446,140874,"St Anselm's Catholic School, Canterbury", ,ACC,0,21%,69%,10%,48.6,10.9,9.1,12.7,11.3,51%,53%,35.4,51.2,61.3,NA,22%,39%
45514,886,4000,136923,St Augustine Academy, ,AC,0,32%,51%,18%,43.3,9.7,8.6,11.1,9.2,50%,44%,28.1,47.6,58.4,36.5,9%,46%
46520,886,4013,141217,St Edmund's Catholic School, ,AC,0, , , , , , , , , , , , , , , , 
46544,886,6050,118998,St Edmund's School Canterbury, ,IND,0,NP,NP,NP,58.3,11.6,11.9,18.1,16.8,83%,65%,NP,NP,NP,NA,23%,73%
46868,886,5447,118919,St George's Church of England Foundation School, ,FD,1,25%,63%,13%,47.6,9.1,8.7,12.4,6.6,41%,25%,37.9,49.3,59.6,NA,2%,38%
46890,886,5404,137609,Saint George's Church of England School, ,ACC,0,30%,56%,14%,45.6,10.6,8.7,11.6,11.2,58%,61%,33.7,49.7,64.2,NA,23%,49%
47116,886,5435,140640,St Gregory's Catholic School, ,ACC,0,21%,58%,21%,50.9,10.8,9.6,14.4,14.9,63%,67%,35.4,52.8,61.7,NA,19%,60%
47684,886,5461,118933,St John's Catholic Comprehensive, ,VA,0,22%,53%,25%,48.4,10.6,9.3,12.9,10,64%,64%,32.3,50.1,61.2,NA,2%,58%
48544,886,6010,118947,St Lawrence College, ,IND,0,NP,NP,NP,48,3.9,11,17.2,15.9,53%,18%,NP,NP,NP,NA,0%,0%
51298,886,5432,140537,St Simon Stock Catholic School, ,ACC,0,19%,64%,17%,53.5,11.7,10.1,14.9,16.3,68%,69%,40.6,54.8,64.7,NA,31%,63%
52196,886,5463,136317,Sandwich Technology School, ,ACC,0,20%,67%,13%,43.4,9.3,7.9,11.5,8.8,40%,44%,29.3,44.9,58.7,NA,6%,34%
52424,886,4207,136300,SchoolsCompany The Goodwin Academy, ,AC,0,33%,62%,5%,42.3,9.2,7.6,10.1,7.4,40%,38%,28.8,48.3,57.3,NA,1%,39%
52776,886,6014,118952,Sevenoaks School, ,IND,0,NP,NP,NP,28.2,0,0,21.7,3.6,0%,0%,NP,NP,NP,NA,0%,0%
53594,886,4534,118840,Simon Langton Girls' Grammar School, ,VC,0,0%,16%,84%,67,14,13.4,19.8,19.7,98%,98%,NE,60.4,68.1,NA,76%,97%
53596,886,5412,118884,Simon Langton Grammar School for Boys, ,FD,0,0%,13%,87%,68,13.9,14,20.7,19.4,98%,97%,NE,61.6,69.6,NA,80%,97%
53744,886,5428,136501,Sir Roger Manwood's School, ,ACC,0,0%,14%,86%,65.9,13.3,13.4,20,19.2,98%,95%,NE,57.4,67,NA,72%,94%
53796,886,4002,137687,Sittingbourne Community College, ,AC,0,32%,55%,13%,41,9.9,8.4,9.4,10,55%,42%,27.5,45,57,40.2,12%,42%
53882,886,6916,135888,Skinners' Kent Academy, ,AC,0,38%,59%,3%,45.8,9.7,9.8,12,14.2,59%,59%,34.8,50.3,SUPP,NA,13%,53%
53886,886,5418,140595,The Skinners' School, ,ACC,0,0%,6%,94%,71.7,14.3,14.7,22,20.7,100%,100%,NE,SUPP,72.4,73.9,SUPP,100%
54800,886,6911,135305,Spires Academy, ,AC,0,40%,54%,6%,40.1,8.4,8,10.6,7,32%,31%,27.3,47.6,55,NA,0%,29%
56454,886,6019,118958,Sutton Valence School, ,IND,0,NP,NP,NP,45.5,10.8,1.9,16.9,15.9,16%,20%,NP,NP,NP,NA,24%,15%
56472,886,4059,118793,Swadelands School, ,CY,0,26%,66%,8%,38,9.3,7.5,9,9.7,38%,35%,21.5,42.4,56.7,NA,12%,33%
57178,886,5407,118879,Thamesview School, ,FD,0,26%,61%,13%,44,10,8.4,10.7,10,57%,59%,25,48.1,59.6,NA,20%,53%
57978,886,5443,136417,Tonbridge Grammar School, ,ACC,0,0%,2%,98%,76.7,15.4,15.5,23.2,10.1,100%,99%,NE,SUPP,76.9,NA,SUPP,100%
57980,886,6020,118959,Tonbridge School, ,IND,0,NP,NP,NP,20.6,7.4,0,10,2.8,0%,0%,NP,NP,NP,NA,0%,0%
58136,886,4196,136583,Towers School and Sixth Form Centre, ,ACC,0,29%,63%,9%,45.3,10.9,8.4,11.2,10,48%,43%,31.7,48.7,60.9,NA,9%,43%
58452,886,4006,139554,Trinity School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
58584,886,4043,118789,Tunbridge Wells Girls' Grammar School, ,FD,0,0%,8%,92%,73.5,14.9,14.4,22.3,21.8,100%,99%,NE,65.6,74.2,72.1,SUPP,100%
58586,886,4045,118790,Tunbridge Wells Grammar School for Boys, ,CY,0,0%,20%,80%,64.9,13.5,13.7,19.2,17.7,98%,96%,NE,59.3,66,NA,68%,97%
59098,886,4633,141628,"Ursuline College, Westgate-On-Sea", ,ACC,0,25%,62%,13%,42.7,9.4,8.8,11,10.3,53%,48%,27.1,45.6,62.1,NA,4%,43%
59214,886,4249,136581,Valley Park School, ,ACC,0,26%,61%,13%,48.6,10.3,9.5,13.5,11.1,57%,61%,36,51.2,61.3,NA,20%,55%
59770,886,6054,119002,Walthamstow Hall, ,IND,0,NP,NP,NP,21.3,0,0,7.8,12.8,0%,0%,NP,NP,NP,NA,0%,0%
60272,886,4046,136455,Weald of Kent Grammar School, ,ACC,0,0%,13%,88%,69.5,13.9,13.9,20.7,20.8,100%,100%,NE,62.6,70.5,69.2,83%,99%
61214,886,5434,136286,Westlands School, ,ACC,0,29%,59%,12%,48,9.9,9.5,13.5,9.2,65%,60%,38.7,50.3,59,NA,16%,59%
62492,886,6920,136205,Wilmington Academy, ,AC,0,21%,69%,10%,45.8,10.3,9.2,12,9.3,56%,53%,35.6,47,59.5,NA,13%,49%
62496,886,5403,137227,Wilmington Grammar School for Boys, ,ACC,0,0%,27%,73%,62.2,12.4,13.3,18.4,18.2,98%,98%,NE,58.3,63.9,NA,SUPP,92%
62498,886,5400,137250,Wilmington Grammar School for Girls, ,ACC,0,0%,12%,88%,66.5,12.9,13.6,19.8,19.6,99%,99%,NE,60.8,67.7,NA,87%,94%
63946,886,5409,139542,Wrotham School, ,ACC,0,20%,65%,14%,46.7,10.1,9.5,12.4,11.5,59%,60%,34.6,48.4,55.9,NA,7%,49%
64008,886,4007,139664,Wye School, ,F,0, , , , , , , , , , , , , ,NA,NA, 
7900,887,6906,136107,Brompton Academy, ,AC,0,40%,53%,7%,44.8,10.1,8.5,9.6,5.3,48%,44%,34.3,51,61.4,NA,7%,42%
10710,887,4068,136594,Chatham Grammar School for Boys, ,ACC,0,0%,24%,76%,64.7,12.4,13,19.2,13.3,96%,97%,NE,62.2,65.6,NA,57%,94%
10712,887,5429,137389,Chatham Grammar School for Girls, ,ACC,0,0%,33%,67%,63.3,12.5,13.2,19.2,18.5,98%,94%,NE,58.5,65.2,NA,57%,90%
19044,887,4069,136337,Fort Pitt Grammar School, ,ACC,0,0%,20%,80%,62.4,13.1,12.1,18.2,19,96%,95%,NE,56.9,63.8,63,53%,94%
21332,887,4174,138046,Greenacre School, ,ACC,0,36%,60%,5%,41.1,10.1,7.9,8.3,6.3,54%,57%,28.7,47.5,54.7,NA,4%,49%
26188,887,5457,141466,The Howard School, ,ACC,0,19%,67%,14%,49.3,10.3,9.6,13,9.3,59%,57%,39.2,51,58.9,NA,19%,53%
26342,887,4000,137119,The Hundred of Hoo Academy, ,AC,1,26%,63%,10%,45.4,10.3,8.7,12.6,9.9,56%,55%,27.2,50.1,60.7,NA,24%,55%
28634,887,6000,118948,"King's School, Rochester", ,IND,0,NP,NP,NP,22.5,0,0,9.2,13.2,0%,0%,NP,NP,NP,NA,0%,0%
33690,887,4002,142081,Medway UTC, ,FUTC,0, , , , , , , , , , , , , ,NA,NA, 
42252,887,5420,136864,Rainham Mark Grammar School, ,ACC,0,0%,14%,86%,66.5,13.3,13.6,20.1,18.3,99%,98%,NE,58.4,67.9,NA,66%,98%
42254,887,4199,136456,Rainham School for Girls, ,ACC,0,21%,70%,9%,49.7,10.9,9.8,12.9,14.4,66%,58%,37.1,51.9,60.8,NA,17%,57%
43624,887,4001,138511,The Robert Napier School, ,AC,0,38%,57%,5%,41.7,9.2,7.6,9.8,7.7,36%,35%,33,45.3,64.5,NA,0%,31%
43704,887,5445,136313,The Rochester Grammar School, ,ACC,0,0%,14%,86%,71,14.2,13.9,21.4,21.5,100%,100%,NE,65.4,72.1,NA,91%,100%
