ALPHAIND,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,NFTYPE,TABKS2,PTPRIORLO,PTPRIORAV,PTPRIORHI,ATT8SCR,ATT8SCRENG,ATT8SCRMAT,ATT8SCREBAC,ATT8SCROPENG,PTL2BASICS_LL_PTQ_EE,PTL2BASICS_3YR_PTQ_EE,ATT8SCR_LO,ATT8SCR_AV,ATT8SCR_HI,ATT8SCR_15,PTEBACC_15_PTQ_EE,PTAC5EM_PTQ_EE
24156,394,4059,108862,Hetton School, ,CY,0,21%,53%,26%,43.6,9.5,7.8,10.4,10.5,52%,47%,28.1,43.9,56.2,NA,13%,43%
27936,394,4072,137262,Kepier, ,ACC,0,18%,59%,22%,49,11,9.6,14.4,12.5,67%,60%,29.9,50.6,60.4,NA,17%,63%
34694,394,4041,140461,Monkwearmouth Academy, ,ACC,0,19%,44%,37%,54.2,11.7,9.5,14.3,10.5,67%,63%,39.1,52.9,64,NA,20%,62%
39292,394,4063,138923,Oxclose Community Academy, ,ACC,0,25%,48%,27%,48,10.4,9.4,12.4,13.8,59%,62%,31.6,49.4,61.3,NA,19%,53%
42668,394,6907,135878,Red House Academy, ,AC,0,21%,55%,24%,40.8,9,7.4,9.6,8.1,37%,32%,19.5,40.4,59.9,NA,6%,36%
44904,394,4607,139538,St Aidan's Catholic Academy, ,ACC,0,15%,53%,31%,51.4,10.9,10.2,13.4,11.5,66%,58%,31.6,50.2,63.1,NA,9%,57%
45482,394,4610,138054,St Anthony's Girls' Catholic Academy, ,ACC,0,12%,45%,43%,54,11.1,10.9,15.6,15.8,77%,72%,27.6,50.6,65.4,NA,48%,71%
51222,394,4609,108870,St Robert of Newminster Roman Catholic School, ,VA,0,10%,46%,44%,53.9,11.6,10.8,14.3,15.3,81%,77%,25.2,51.6,62.9,NA,26%,76%
52118,394,4001,141986,Sandhill View Academy, ,AC,0,23%,58%,19%,42.6,9.3,8.7,10.3,11.8,47%,47%,29.8,42.4,59.1,NA,NA,44%
54608,394,4055,138103,Southmoor Academy, ,ACC,0,14%,53%,33%,50.9,10.5,10,14.8,12.5,65%,64%,31.8,47.9,63.4,NA,36%,61%
57490,394,4042,108860,Thornhill School Business & Enterprise College, ,CY,0,26%,49%,25%,51,10.6,9.8,12.8,10.1,58%,56%,36.2,51.3,64.9,NA,13%,55%
59270,394,4073,139184,Venerable Bede Church of England Academy, ,ACC,0,16%,55%,28%,46.1,9.5,8.7,13.1,13.6,49%,54%,28.1,44,60.2,NA,15%,41%
60058,394,4065,108865,Washington School, ,CY,0,20%,60%,20%,46.6,9,8.8,12.4,7.8,41%,44%,31.9,47.3,61.1,NA,5%,36%
18634,420,3005,133554,The Five Islands School, ,VC,1,14%,73%,14%,50.4,12.4,11,9.7,11.2,70%,77%,SUPP,50.7,SUPP,NA,SUPP,65%
3916,800,6015,138147,Bath Academy, ,IND,0,NP,NP,NP,31.7,2.1,11.7,12.9,5,14%,13%,NP,NP,NP,NA,SUPP,0%
3920,800,4000,138394,Bath Community Academy, ,AC,0,27%,42%,30%,41.2,9.4,8.3,9.8,8.4,59%,44%,25.7,39.2,56.8,NA,2%,50%
3922,800,4002,140944,The Bath Studio School, ,FSS,0,40%,50%,10%,40,8.2,7.4,11.4,5.2,29%,29%,29.3,44.5,SUPP,NA,NA,14%
4424,800,5400,136520,Beechen Cliff School, ,ACC,0,14%,45%,41%,56,12,11.5,16.8,15.2,80%,70%,30.9,51.9,67.7,NA,34%,66%
7708,800,4001,138985,Broadlands Academy, ,AC,0,17%,53%,30%,46.6,10.6,9.3,11.4,10.9,58%,54%,25.1,45.7,60.3,NA,16%,53%
11086,800,4130,109306,Chew Valley School, ,CY,0,8%,51%,42%,51.5,11,10.6,14,15.6,74%,68%,32.4,46.4,61.5,NA,37%,66%
23332,800,4107,136966,Hayesfield Girls School, ,ACC,0,13%,45%,42%,56.1,12.3,10.9,15.1,15.3,78%,72%,34.1,52.7,66.8,NA,50%,74%
26656,800,4004,142127,The IKB Studio School, ,FSS,0, , , , , , , , , , , , , ,NA,NA, 
28312,800,6010,109374,King Edward's School, ,IND,0,NP,NP,NP,31.9,7.3,0,12.1,10.7,0%,0%,NP,NP,NP,NA,0%,0%
28956,800,6000,109346,Kingswood School, ,IND,0,NP,NP,NP,52.5,6.9,13.4,16.1,14.4,99%,37%,NP,NP,NP,NA,0%,0%
33776,800,4003,142125,Mendip Studio School, ,FSS,0, , , , , , , , , , , , , ,NA,NA, 
34692,800,6008,109360,Monkton Senior School, ,IND,0,NP,NP,NP,36.4,0,3.7,20.1,7.8,0%,0%,NP,NP,NP,NA,0%,0%
37318,800,4128,136335,Norton Hill Academy, ,ACC,0,13%,58%,29%,57.3,11.2,11,15.9,11.1,76%,72%,45.1,55.1,67.4,NA,40%,75%
38284,800,5401,136483,Oldfield School, ,ACC,0,9%,57%,34%,53,11.4,9.6,13.7,11.4,64%,66%,34.4,50.7,62.9,NA,28%,60%
41486,800,6001,109347,Prior Park College, ,IND,0,NP,NP,NP,53.7,12.6,0,20.9,16.2,0%,0%,NP,NP,NP,NA,0%,0%
42280,800,4132,138522,Ralph Allen School, ,ACC,0,10%,48%,42%,55.2,11.7,10.9,15.7,16.4,72%,71%,30.6,49.8,66.9,NA,37%,70%
44328,800,6002,109348,Royal High School GDST, ,IND,0,NP,NP,NP,22.5,0,0,10.7,11,0%,0%,NP,NP,NP,NA,0%,0%
47078,800,4608,109329,Saint Gregory's Catholic College, ,VA,0,11%,51%,38%,53.6,11.1,10.6,16.2,15.2,68%,66%,23,49.8,66.4,NA,45%,62%
48946,800,4607,109328,St Mark's CofE School, ,VA,0,18%,56%,26%,46.1,9.6,9.9,12.3,8.9,64%,54%,27.1,48.5,57.5,NA,11%,52%
54130,800,4133,136311,Somervale School Specialist Media Arts College, ,ACC,0,23%,55%,23%,52.5,10.7,10,13.7,9.8,66%,59%,34.4,54.7,65,46.8,30%,60%
60504,800,4138,137523,Wellsway School, ,ACC,0,11%,44%,45%,58,12,11.8,16.8,15.4,91%,84%,41,54.5,65.7,NA,39%,85%
63930,800,4134,137548,Writhlington School, ,ACC,0,17%,50%,33%,45.9,9.7,9.4,12.5,11.9,55%,59%,23.2,43.5,60.2,NA,22%,52%
1616,801,6130,130391,Andalusia Academy Bristol, ,IND,0,NP,NP,NP,52.7,11,9.9,16.6,15.2,59%,66%,NP,NP,NP,NA,48%,59%
2758,801,4030,109278,Ashton Park School, ,FD,0,22%,48%,30%,44.3,9.6,8.6,11.4,12.6,53%,56%,25.9,44.8,57.9,NA,14%,48%
3288,801,6003,109337,Badminton School, ,IND,0,NP,NP,NP,22.9,0,0,12.8,9.3,0%,0%,NP,NP,NP,NA,0%,0%
4352,801,4037,138204,Bedminster Down School, ,ACC,0,19%,56%,25%,48.1,11.1,9,13.1,10.7,53%,51%,32.9,47,61.8,NA,9%,49%
7228,801,4005,139049,Bridge Learning Campus, ,AC,1,22%,61%,17%,41.9,10,8.8,9.8,9.2,52%,39%,27.6,43.5,53.6,NA,9%,38%
7496,801,6907,135300,Bristol Brunel Academy, ,AC,0,26%,56%,18%,47.3,9.9,9.6,13.1,11.3,56%,51%,35.8,47.7,63.7,NA,13%,50%
7498,801,6908,135575,Bristol Cathedral Choir School, ,AC,0,7%,50%,43%,58.6,12.4,12.1,16.5,16.8,86%,84%,26.7,54,68.6,NA,35%,82%
7502,801,4001,136822,Bristol Free School, ,F,0,14%,60%,26%,48.6,10.4,9.9,14.2,13.2,66%,66%,29,45,63.2,NA,NA,54%
7508,801,6013,109369,Bristol Grammar School, ,IND,0,NP,NP,NP,44.4,14.5,3,7.6,18.5,19%,6%,NP,NP,NP,NA,0%,18%
7514,801,6913,135959,Bristol Metropolitan Academy, ,AC,0,26%,55%,19%,48.2,9.6,9.8,13.8,12.6,53%,52%,39.1,50.2,62.7,NA,26%,50%
7518,801,6011,109345,Bristol Steiner School, ,IND,0,NP,NP,NP,43.7,11.5,9.8,14.7,7.7,73%,69%,NP,NP,NP,NA,0%,64%
11782,801,6905,134221,The City Academy Bristol, ,AC,0,38%,51%,11%,39.7,9.5,8.9,8.2,11.5,54%,42%,30.7,45.1,57.2,NA,3%,40%
12168,801,6000,109334,Clifton College, ,IND,0,NP,NP,NP,37.3,5.2,0,19.4,12.5,0%,0%,NP,NP,NP,NA,0%,0%
12176,801,6001,109335,Clifton High School, ,IND,0,NP,NP,NP,64,12.4,13.4,19.7,18.4,97%,92%,NP,NP,NP,NA,34%,97%
12636,801,6909,135581,Colston's Girls' School, ,AC,0,10%,54%,36%,57.6,12.7,10.9,16.9,17.1,75%,81%,29.6,54.9,68.5,NA,71%,72%
12642,801,6002,109336,Colston's School, ,IND,0,NP,NP,NP,63.4,12.7,12.4,19,19.3,93%,90%,NP,NP,NP,NA,47%,87%
13230,801,4100,137440,Cotham School, ,ACC,0,15%,52%,33%,50.6,10.9,10.8,14.3,13.9,71%,72%,26.4,49.2,63.5,54.2,34%,63%
17840,801,4101,141705,Fairfield High School, ,ACC,0,16%,52%,32%,48.9,10.1,10,13.2,15.6,62%,54%,31.8,48.6,61.8,NA,28%,57%
23826,801,4031,138217,Henbury School, ,ACC,0,33%,49%,18%,41.7,8.9,7.5,12,10.8,42%,44%,22.6,48.5,58.9,NA,8%,41%
26754,801,6023,134441,Include Bristol, ,IND,0,NP,NP,NP,1.7,0.8,0.7,0.1,0.2,0%,0%,NP,NP,NP,NA,0%,0%
31886,801,6029,137583,LPW Independent School, ,IND,0,NP,NP,NP,1.1,0.1,0.9,0.1,0.1,0%,0%,NP,NP,NP,NA,0%,0%
33842,801,6910,135597,Merchants' Academy, ,AC,1,21%,58%,21%,38.8,9,7.9,9.2,6.3,36%,45%,19.8,40.2,53.7,NA,21%,29%
37968,801,6912,135671,Oasis Academy Brightstowe, ,AC,0,35%,52%,13%,42.6,9.4,8.5,9.8,10.2,50%,46%,26.9,46.8,64.8,NA,8%,46%
37970,801,4007,141652,Oasis Academy Brislington, ,AC,0,25%,53%,22%,43.7,9,8.6,11.8,9.8,49%,49%,25.6,47,58.8,NA,NA,41%
38002,801,6911,135663,Oasis Academy John Williams, ,AC,0,20%,60%,20%,48.7,11,9.9,12.6,15.1,66%,58%,35,49.4,60.8,NA,5%,50%
38512,801,4003,138448,Orchard School Bristol, ,AC,0,30%,47%,23%,44.1,10.4,8.3,11,10.6,50%,46%,29.8,44.7,61.5,NA,20%,46%
41924,801,6014,109370,Queen Elizabeth's Hospital, ,IND,0,NP,NP,NP,31.4,6.9,0,12.2,11.1,0%,0%,NP,NP,NP,NA,0%,0%
42678,801,6015,109371,The Red Maids' School, ,IND,0,NP,NP,NP,32.9,7.3,4.3,9.1,12.1,31%,9%,NP,NP,NP,NA,0%,0%
42818,801,4627,138855,Redland Green School, ,ACC,0,5%,36%,60%,61.3,12.4,12.1,18.2,16,89%,87%,26.2,54.5,68.4,NA,45%,84%
42820,801,6016,109372,Redland High School for Girls, ,IND,0,NP,NP,NP,58.9,7,12.2,20,19.5,86%,27%,NP,NP,NP,NA,0%,0%
