LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
9194606,117555,135,130,4,5,125,37,SUPP,86,SUPP,SUPP,SUPP,96%,3%,4%,93%,27%,SUPP,64%,SUPP,SUPP,SUPP
9194614,138356,192,189,SUPP,SUPP,SUPP,21,5,158,SUPP,SUPP,SUPP,98%,SUPP,SUPP,SUPP,11%,3%,82%,SUPP,SUPP,SUPP
9194619,117557,177,172,5,SUPP,SUPP,67,SUPP,95,SUPP,SUPP,SUPP,97%,3%,SUPP,SUPP,38%,SUPP,54%,SUPP,SUPP,SUPP
9194620,138106,148,144,3,SUPP,SUPP,13,SUPP,122,4,SUPP,SUPP,97%,2%,SUPP,SUPP,9%,SUPP,82%,3%,SUPP,SUPP
9194802,136922,152,145,4,SUPP,SUPP,SUPP,0,115,0,SUPP,SUPP,95%,3%,SUPP,SUPP,SUPP,0%,76%,0%,SUPP,SUPP
9195400,136606,197,193,3,SUPP,SUPP,45,SUPP,144,SUPP,SUPP,SUPP,98%,2%,SUPP,SUPP,23%,SUPP,73%,SUPP,SUPP,SUPP
9195401,136276,180,177,SUPP,SUPP,SUPP,SUPP,0,152,0,3,0,98%,SUPP,SUPP,SUPP,SUPP,0%,84%,0%,2%,0%
9195403,136289,183,182,SUPP,SUPP,SUPP,33,SUPP,144,SUPP,SUPP,SUPP,99%,SUPP,SUPP,SUPP,18%,SUPP,79%,SUPP,SUPP,SUPP
9195404,136899,188,186,5,SUPP,SUPP,32,SUPP,151,SUPP,SUPP,SUPP,99%,3%,SUPP,SUPP,17%,SUPP,80%,SUPP,SUPP,SUPP
9195405,117577,154,152,6,SUPP,SUPP,40,SUPP,106,SUPP,SUPP,SUPP,99%,4%,SUPP,SUPP,26%,SUPP,69%,SUPP,SUPP,SUPP
9195406,117578,201,191,7,6,185,72,SUPP,111,SUPP,SUPP,SUPP,95%,3%,3%,92%,36%,SUPP,55%,SUPP,SUPP,SUPP
9195407,136554,201,201,SUPP,SUPP,SUPP,22,SUPP,175,SUPP,0,0,100%,SUPP,SUPP,SUPP,11%,SUPP,87%,SUPP,0%,0%
9195408,137872,167,163,7,6,157,51,0,106,0,SUPP,SUPP,98%,4%,4%,94%,31%,0%,63%,0%,SUPP,SUPP
9195410,136877,263,255,17,8,247,55,4,189,0,SUPP,SUPP,97%,6%,3%,94%,21%,2%,72%,0%,SUPP,SUPP
9195411,137224,166,157,7,8,149,62,4,79,4,SUPP,SUPP,95%,4%,5%,90%,37%,2%,48%,2%,SUPP,SUPP
9195412,137938,174,164,13,4,160,41,0,116,3,6,4,94%,7%,2%,92%,24%,0%,67%,2%,3%,2%
9195413,137895,226,225,5,SUPP,SUPP,36,SUPP,183,SUPP,SUPP,SUPP,100%,2%,SUPP,SUPP,16%,SUPP,81%,SUPP,SUPP,SUPP
9195414,138042,189,183,8,6,177,59,SUPP,117,SUPP,6,0,97%,4%,3%,94%,31%,SUPP,62%,SUPP,3%,0%
9195415,137532,206,203,11,8,195,65,SUPP,126,SUPP,SUPP,SUPP,99%,5%,4%,95%,32%,SUPP,61%,SUPP,SUPP,SUPP
9195416,137156,166,165,4,5,160,61,SUPP,98,SUPP,SUPP,SUPP,99%,2%,3%,96%,37%,SUPP,59%,SUPP,SUPP,SUPP
9195417,137922,177,172,7,6,166,58,0,108,0,SUPP,SUPP,97%,4%,3%,94%,33%,0%,61%,0%,SUPP,SUPP
9195418,137914,211,206,11,5,201,82,19,97,3,5,0,98%,5%,2%,95%,39%,9%,46%,1%,2%,0%
9195419,117591,178,174,6,3,171,64,SUPP,104,SUPP,SUPP,SUPP,98%,3%,2%,96%,36%,SUPP,58%,SUPP,SUPP,SUPP
9195420,140786,156,156,SUPP,3,153,25,SUPP,119,SUPP,0,0,100%,SUPP,2%,98%,16%,SUPP,76%,SUPP,0%,0%
9195421,136901,204,203,SUPP,SUPP,SUPP,34,SUPP,163,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,17%,SUPP,80%,SUPP,SUPP,SUPP
9195422,117594,153,151,0,SUPP,SUPP,36,SUPP,111,0,SUPP,SUPP,99%,0%,SUPP,SUPP,24%,SUPP,73%,0%,SUPP,SUPP
9195423,138360,133,130,3,4,126,45,8,73,0,SUPP,SUPP,98%,2%,3%,95%,34%,6%,55%,0%,SUPP,SUPP
9195425,117596,154,143,7,5,138,76,SUPP,61,SUPP,11,0,93%,5%,3%,90%,49%,SUPP,40%,SUPP,7%,0%
9195426,136607,191,188,18,5,183,65,SUPP,117,SUPP,3,0,98%,9%,3%,96%,34%,SUPP,61%,SUPP,2%,0%
9195427,136482,116,114,SUPP,SUPP,SUPP,14,SUPP,83,9,SUPP,SUPP,98%,SUPP,SUPP,SUPP,12%,SUPP,72%,8%,SUPP,SUPP
9196905,135876,201,186,4,SUPP,SUPP,97,SUPP,85,SUPP,SUPP,SUPP,93%,2%,SUPP,SUPP,48%,SUPP,42%,SUPP,SUPP,SUPP
9196906,135938,98,83,3,SUPP,SUPP,31,SUPP,49,SUPP,SUPP,SUPP,85%,3%,SUPP,SUPP,32%,SUPP,50%,SUPP,SUPP,SUPP
9197004,141251,28,27,0,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,96%,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
9197006,117665,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197007,138485,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197008,117667,19,17,0,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,89%,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
9197010,117669,26,25,0,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,96%,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
9197012,117671,30,30,0,0,30,29,0,SUPP,SUPP,0,0,100%,0%,0%,100%,97%,0%,SUPP,SUPP,0%,0%
9197013,117672,14,13,0,SUPP,SUPP,12,0,SUPP,SUPP,SUPP,SUPP,93%,0%,SUPP,SUPP,86%,0%,SUPP,SUPP,SUPP,SUPP
9197014,142257,15,7,0,SUPP,SUPP,4,0,SUPP,SUPP,8,0,47%,0%,SUPP,SUPP,27%,0%,SUPP,SUPP,53%,0%
9197016,117674,12,6,0,SUPP,SUPP,SUPP,0,0,0,6,0,50%,0%,SUPP,SUPP,SUPP,0%,0%,0%,50%,0%
9197022,117679,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197023,117680,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197024,117681,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197025,117682,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197026,117683,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197028,117684,13,13,0,0,13,0,0,0,13,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
9197032,117685,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197033,117686,13,11,SUPP,SUPP,SUPP,7,0,SUPP,0,SUPP,SUPP,85%,SUPP,SUPP,SUPP,54%,0%,SUPP,0%,SUPP,SUPP
9197042,117690,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9197045,131060,11,8,0,SUPP,SUPP,7,0,SUPP,SUPP,SUPP,SUPP,73%,0%,SUPP,SUPP,64%,0%,SUPP,SUPP,SUPP,SUPP
LA,919,13015,12575,480,340,12235,4075,160,7830,175,375,70,97%,4%,3%,94%,31%,1%,60%,1%,3%,1%
9214000,136751,321,307,17,10,297,151,SUPP,141,SUPP,14,0,96%,5%,3%,93%,47%,SUPP,44%,SUPP,4%,0%
9214001,136753,211,197,13,4,193,124,0,66,3,11,3,93%,6%,2%,91%,59%,0%,31%,1%,5%,1%
9214030,136010,271,244,10,7,237,123,SUPP,113,SUPP,SUPP,SUPP,90%,4%,3%,87%,45%,SUPP,42%,SUPP,SUPP,SUPP
9214032,136012,215,200,23,15,185,119,SUPP,64,SUPP,SUPP,SUPP,93%,11%,7%,86%,55%,SUPP,30%,SUPP,SUPP,SUPP
9214604,135552,191,187,4,SUPP,SUPP,68,5,108,SUPP,4,0,98%,2%,SUPP,SUPP,36%,3%,57%,SUPP,2%,0%
9217000,118226,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9217001,118227,21,20,0,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,95%,0%,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP
LA,921,1420,1340,75,45,1295,680,15,565,35,75,5,94%,5%,3%,91%,48%,1%,40%,3%,5%,SP
9254000,137572,208,196,11,6,190,87,SUPP,101,SUPP,12,0,94%,5%,3%,91%,42%,SUPP,49%,SUPP,6%,0%
9254001,137282,181,168,13,9,159,52,SUPP,106,SUPP,SUPP,SUPP,93%,7%,5%,88%,29%,SUPP,59%,SUPP,SUPP,SUPP
9254002,138783,97,87,SUPP,SUPP,SUPP,51,0,SUPP,0,10,0,90%,SUPP,SUPP,SUPP,53%,0%,SUPP,0%,10%,0%
9254003,139055,94,90,10,SUPP,SUPP,30,SUPP,36,SUPP,4,0,96%,11%,SUPP,SUPP,32%,SUPP,38%,SUPP,4%,0%
9254004,138638,174,172,SUPP,SUPP,SUPP,23,SUPP,145,SUPP,SUPP,SUPP,99%,SUPP,SUPP,SUPP,13%,SUPP,83%,SUPP,SUPP,SUPP
9254005,137667,126,122,SUPP,SUPP,SUPP,13,SUPP,105,SUPP,SUPP,SUPP,97%,SUPP,SUPP,SUPP,10%,SUPP,83%,SUPP,SUPP,SUPP
9254010,137873,238,231,12,7,224,98,SUPP,124,SUPP,7,0,97%,5%,3%,94%,41%,SUPP,52%,SUPP,3%,0%
9254017,136479,45,43,4,3,40,36,0,4,0,SUPP,SUPP,96%,9%,7%,89%,80%,0%,9%,0%,SUPP,SUPP
9254019,136624,144,141,4,6,135,73,SUPP,61,SUPP,3,0,98%,3%,4%,94%,51%,SUPP,42%,SUPP,2%,0%
9254022,139140,124,119,4,SUPP,SUPP,14,SUPP,102,SUPP,SUPP,SUPP,96%,3%,SUPP,SUPP,11%,SUPP,82%,SUPP,SUPP,SUPP
9254027,120642,139,139,4,SUPP,SUPP,25,SUPP,111,SUPP,0,0,100%,3%,SUPP,SUPP,18%,SUPP,80%,SUPP,0%,0%
