LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
330,2138,139904,35,21,8,29.3,18,6.9,20.9,34725
330,2140,140159,23,11,4,23,10.1,4,14,31332
330,2141,140161,13,9,3,12.7,7.2,2.5,18.2,34297
330,2142,103237,19,13,4,18.6,11.1,3.1,18.1,33115
330,2144,140656,23,38,9,22.6,31.7,9,29.2,33898
330,2145,141206,13,9,4,12.1,6.5,3.1,19.8,35401
330,2146,141319,27,39,11,25.8,33.3,9.9,25.7,38442
330,2149,103240,21,18,4,19.8,14.1,4,18.3,37881
330,2150,103241,31,29,5,28,23.1,4.2,21.4,37204
330,2152,141320,13,9,4,13,8,4,16.2,37824
330,2153,103243,17,20,6,17,16.6,4.3,17,32094
330,2154,141669,10,9,3,9.4,7.2,2.4,21.6,36318
330,2155,103244,14,12,4,12.6,10.1,3.6,18.4,37904
330,2156,103245,11,12,3,10,9.6,2.7,19.5,41481
330,2157,103246,28,22,4,22.8,16.3,3.4,19.5,37333
330,2158,141670,13,10,2,10.3,9.1,1.8,20.3,35836
330,2159,103247,15,11,4,14.6,9.2,2.5,15.3,35500
330,2160,103248,19,12,4,17.4,10.4,3.5,18.2,36772
330,2161,103249,15,14,4,14,11,3.4,20.5,35651
330,2169,103252,26,25,6,24.6,19.3,5.7,18.2,38025
330,2174,103255,19,16,3,17.4,14,2.6,20.7,37917
330,2176,103256,40,49,7,37.2,36.8,6.1,19.9,36871
330,2178,103257,17,20,6,14.3,11.4,5.2,16,37519
330,2179,103258,89,62,23,81.8,48.4,20.6,19.7,33939
330,2180,103259,33,21,7,31.8,17.7,5.4,14.5,33298
330,2182,138052,24,21,8,20.4,16.4,8,29.4,37482
330,2183,103261,30,25,6,28.6,19.5,5.1,16.9,35943
330,2184,103262,18,17,6,17.6,13,4.4,20.9,36606
330,2185,103263,23,23,5,21.9,17.2,3.8,19.2,33069
330,2188,103264,14,11,3,13.6,6.7,2.7,16.2,37514
330,2189,103265,26,16,7,25.1,13.9,6.6,17,33403
330,2190,103266,10,7,5,9.7,5.2,3.9,20.5,39275
330,2191,103267,12,12,6,11.4,10.8,5.1,17.3,35008
330,2192,103268,40,33,8,37.4,25.2,7.1,19.1,34126
330,2195,138104,31,41,9,30,37.5,8.3,18.7,42561
330,2225,103279,19,14,11,17,10.6,8,18.6,31672
330,2226,103280,17,15,7,16.4,12.8,6.6,21.7,34410
330,2227,103281,20,15,6,19,14.3,5.3,17.1,32862
330,2231,103284,25,19,6,22.6,16.4,5,19.7,35625
330,2236,103286,11,10,3,10.4,8.4,2.7,22.5,34906
330,2238,103288,11,9,2,9.2,7,1.8,21.3,37004
330,2239,103289,11,17,12,10.4,14.5,8.9,19.8,32800
330,2241,103291,15,11,6,13.4,8.2,4.8,17,39427
330,2245,103295,20,19,6,13.4,13.9,5.2,18.1,37920
330,2246,103296,30,25,8,27.2,19.7,6,19.2,38415
330,2249,139860,10,17,3,9.4,13.8,2.2,25.1,37421
330,2251,103298,22,23,3,20.4,17,2.6,22.1,36401
330,2254,103300,28,36,8,27,29.4,6.7,23.2,37259
330,2263,142203,25,21,4,22.4,18.3,3.7,18.5,35579
330,2273,103307,30,13,4,29,11.4,3.2,8.8,33324
330,2276,103308,18,22,5,17.3,16.8,2.8,18,34175
330,2278,103310,24,17,4,21.4,13.6,3.3,18.9,36098
330,2283,103312,22,17,5,22,12,4.1,16.6,34663
330,2284,103313,12,9,6,11.2,8,4.4,18.8,37759
330,2288,103314,27,23,4,24.7,18.5,3.2,17.2,35359
330,2289,103315,17,8,3,15,6.9,2.3,18.2,32308
330,2293,103317,16,7,4,14.4,4.9,3.9,24.7,41534
330,2294,103318,16,11,6,16,9.6,3.2,20.1,30172
330,2295,139465,13,7,3,11.9,5.9,2.6,17.9,39250
330,2296,103320,20,16,7,18.4,13,4.2,21.7,37166
330,2297,103321,30,24,12,29.2,20.4,11.2,24.1,36064
330,2299,140706,16,27,3,14.6,20.7,2.3,21.1,36040
330,2300,103324,38,56,4,35.2,43.7,3.8,18.9,37276
330,2305,103325,22,30,10,20.8,23.9,7.8,21.5,37933
330,2306,103326,10,9,3,8.4,7.7,2.8,24.2,37658
330,2308,103328,22,20,9,20.7,17.5,7.4,23.2,38666
330,2309,142231,19,17,12,16.6,14.1,7.4,26.8,37734
330,2310,139484,11,13,10,9.9,9.1,4.3,20.7,38701
330,2312,103332,22,17,3,20,15.5,2.6,19.4,34370
330,2313,103333,24,21,5,22.8,16.9,4.4,18.4,37869
330,2314,103334,12,5,3,11,4,2.9,19.1,35431
330,2315,103335,13,8,5,12.8,6.9,4.5,17.7,33893
330,2317,103337,17,25,3,14.7,18,2.4,21.3,37088
330,2321,103339,13,14,4,11.2,11.5,3.2,20.8,37182
330,2401,103341,21,12,5,18.5,6.7,4.7,19.4,36655
330,2402,103342,18,17,3,14.5,10.8,3,20.4,37653
330,2406,103345,13,11,4,11.4,9.5,2.6,17.9,38516
330,2412,103349,23,16,6,22.2,11.6,5.8,18.9,35574
330,2416,103351,14,6,4,11.8,4.2,3.1,18,37189
330,2420,103353,12,7,4,11.6,4.6,2.7,20.7,33516
330,2425,103356,12,9,2,10.6,6.6,1.5,19.8,37532
330,2429,103360,12,12,5,10.5,8.9,3.3,19.4,37578
330,2434,141270,25,46,10,21.3,24.3,6.2,21.2,33552
330,2435,103362,35,24,8,33.5,21.5,7.4,17.1,35444
330,2436,103363,13,11,8,12.2,9.2,8,16.6,37565
330,2438,103365,14,11,4,12.3,9.1,2.1,16.9,36120
330,2441,103368,22,17,7,21.2,13.2,6.3,19,36005
330,2442,103369,23,16,7,19.9,12.8,5.2,20.5,37448
