ALPHAIND	LEA	ESTAB	URN	SCHNAME	SCHNAME_AC	NFTYPE	TABKS2	PTPRIORLO	PTPRIORAV	PTPRIORHI	PTL2BASICS_LL_PTQ_EE	PTEBACC_15_PTQ_EE	PTL2BASICS_3YR_PTQ_EE	PTAC5EM_PTQ_EE	ATT8SCR	ATT8SCRENG	ATT8SCRMAT	ATT8SCREBAC	ATT8SCROPENG	ATT8SCR_LO	ATT8SCR_AV	ATT8SCR_HI	ATT8SCR_15
37882	892	4006	141363	The Oakwood Academy	 	AC	0	0.09	0.52	0.39	0.72	NA	0.72	0.61	51.7	10.5	10.4	13.4	9.6	21.9	49	62.4	NA
57904	892	6016	139771	TLG - Nottingham	 	IND	0	NP	NP	NP	SUPP	NA	NE	SUPP	SUPP	SUPP	SUPP	SUPP	SUPP	NP	NP	NP	NA
58004	892	4002	138573	Top Valley Academy	 	AC	0	0.23	0.56	0.22	0.43	0.09	0.4	0.39	43.5	8.4	8	11.2	9.1	30.7	43.8	59.2	NA
58370	892	5404	138341	The Trinity Catholic School A Voluntary Academy	 	ACC	0	0.12	0.42	0.46	0.72	0.31	0.72	0.69	55.9	11.1	11.4	15.6	16.3	32.5	50.6	66.3	NA
464	893	6003	123602	Adcote School for Girls	 	IND	0	NP	NP	NP	0.28	0.0	0.46	0.19	38.2	4.9	11.1	12.6	9.6	NP	NP	NP	NA
4360	893	6000	123599	Bedstone College	 	IND	0	NP	NP	NP	0.57	0.57	0.62	0.57	53.4	8.9	11.6	17.3	15.7	NP	NP	NP	NA
4770	893	4396	123570	Belvidere School	 	CY	0	0.16	0.51	0.33	0.68	0.27	0.62	0.55	53.5	10.7	10.6	15.3	12	35.6	52.3	64.6	NA
7294	893	4500	139143	Bridgnorth Endowed School	 	ACC	0	0.12	0.57	0.31	0.72	0.28	0.6	0.65	52.3	11	10.4	14.8	15.2	30.7	50.2	65.3	NA
11660	893	4385	139455	Church Stretton School	 	ACC	0	0.13	0.47	0.4	0.59	0.25	0.59	0.58	52.3	11	10	15.2	15.3	28.5	47	66	NA
12710	893	4376	123564	The Community College, Bishop's Castle	 	FD	0	0.18	0.52	0.3	0.74	0.38	0.57	0.58	51.8	10.7	10.8	14.7	13.8	30.6	49.3	62.4	NA
12750	893	6020	123623	Concord College	 	IND	0	NP	NP	NP	0.0	0.0	0.0	0.0	52.8	9.6	0	22.2	19.8	NP	NP	NP	NA
