DFE_NUMBER,URN,COHORT,OVERALL,EDUCATION,HE,TOP_3RD,OXBRIDGE,RUSSELL,OTHERHE,FE,OTHER_EDU,EMPLOYMENT,NOT_SUSTAINED,NOT_CAPTURED,APPREN,GAP,OVERALLPER,EDUCATIONPER,HEPER,TOP_3RDPER,OXBRIDGEPER,RUSSELLPER,OTHERHEPER,FEPER,OTHER_EDUPER,EMPLOYMENTPER,NOT_SUSTAINEDPER,NOT_CAPTUREDPER,APPRENPER,GAPPER
9084158,136524,46,40,31,12,SUPP,0,SUPP,SUPP,9,10,9,6,0,6,SUPP,87%,67%,26%,SUPP,0%,SUPP,SUPP,20%,22%,20%,13%,0%,13%,SUPP
9084159,112054,46,42,30,20,6,SUPP,5,14,10,0,12,SUPP,SUPP,7,SUPP,91%,65%,43%,13%,SUPP,11%,30%,22%,0%,26%,SUPP,SUPP,15%,SUPP
9084165,136533,110,93,59,48,14,0,8,34,SUPP,SUPP,34,14,3,12,4,85%,54%,44%,13%,0%,7%,31%,SUPP,SUPP,31%,13%,3%,11%,4%
9084167,112061,64,55,41,33,10,0,9,23,SUPP,SUPP,14,SUPP,SUPP,5,SUPP,86%,64%,52%,16%,0%,14%,36%,SUPP,SUPP,22%,SUPP,SUPP,8%,SUPP
9088000,130627,908,749,450,231,37,SUPP,26,194,SUPP,SUPP,299,119,40,105,9,82%,50%,25%,4%,SUPP,3%,21%,SUPP,SUPP,33%,13%,4%,12%,1%
9088005,130629,1671,1438,992,778,284,16,183,494,209,5,446,179,54,78,92,86%,59%,47%,17%,1%,11%,30%,13%,SP,27%,11%,3%,5%,6%
LA,908,3720,3185,2135,1520,445,30,300,1070,560,55,1050,415,120,280,160,86%,57%,41%,12%,1%,8%,29%,15%,1%,28%,11%,3%,8%,4%
9094056,112379,38,37,27,17,4,0,4,13,6,4,10,SUPP,SUPP,SUPP,SUPP,97%,71%,45%,11%,0%,11%,34%,16%,11%,26%,SUPP,SUPP,SUPP,SUPP
9094103,142306,125,115,96,81,39,SUPP,27,42,15,0,19,7,3,9,12,92%,77%,65%,31%,SUPP,22%,34%,12%,0%,15%,6%,2%,7%,10%
9094104,112382,29,26,17,15,3,0,SUPP,12,SUPP,SUPP,9,3,0,SUPP,SUPP,90%,59%,52%,10%,0%,SUPP,41%,SUPP,SUPP,31%,10%,0%,SUPP,SUPP
9094152,112385,105,102,94,74,40,SUPP,31,34,9,11,8,3,0,11,SUPP,97%,90%,70%,38%,SUPP,30%,32%,9%,10%,8%,3%,0%,10%,SUPP
9094204,112388,20,16,11,7,0,0,0,7,4,0,5,4,0,3,SUPP,80%,55%,35%,0%,0%,0%,35%,20%,0%,25%,20%,0%,15%,SUPP
9094310,112393,85,75,42,33,6,SUPP,4,27,9,0,33,SUPP,SUPP,6,5,88%,49%,39%,7%,SUPP,5%,32%,11%,0%,39%,SUPP,SUPP,7%,6%
9094501,112397,123,116,99,87,53,SUPP,31,34,12,0,17,SUPP,SUPP,12,6,94%,80%,71%,43%,SUPP,25%,28%,10%,0%,14%,SUPP,SUPP,10%,5%
9094622,112398,66,63,51,36,9,SUPP,7,27,15,0,12,SUPP,SUPP,13,7,95%,77%,55%,14%,SUPP,11%,41%,23%,0%,18%,SUPP,SUPP,20%,11%
9094630,112399,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9095400,136671,88,85,61,50,13,SUPP,10,37,11,0,24,3,0,SUPP,11,97%,69%,57%,15%,SUPP,11%,42%,13%,0%,27%,3%,0%,SUPP,13%
9095401,136732,108,99,87,80,60,6,47,20,SUPP,SUPP,12,SUPP,SUPP,4,9,92%,81%,74%,56%,6%,44%,19%,SUPP,SUPP,11%,SUPP,SUPP,4%,8%
9095402,137369,136,128,100,87,29,0,20,58,SUPP,SUPP,28,SUPP,SUPP,9,7,94%,74%,64%,21%,0%,15%,43%,SUPP,SUPP,21%,SUPP,SUPP,7%,5%
9095404,136526,119,104,69,60,34,5,26,26,6,3,35,SUPP,SUPP,3,13,87%,58%,50%,29%,4%,22%,22%,5%,3%,29%,SUPP,SUPP,3%,11%
9095405,137205,81,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9095406,137107,37,35,30,24,8,0,7,16,SUPP,SUPP,5,SUPP,SUPP,3,4,95%,81%,65%,22%,0%,19%,43%,SUPP,SUPP,14%,SUPP,SUPP,8%,11%
9095407,137251,34,31,21,16,5,0,SUPP,11,5,0,10,SUPP,SUPP,SUPP,SUPP,91%,62%,47%,15%,0%,SUPP,32%,15%,0%,29%,SUPP,SUPP,SUPP,SUPP
9095411,136357,174,158,121,105,51,3,42,54,SUPP,SUPP,37,12,4,8,12,91%,70%,60%,29%,2%,24%,31%,SUPP,SUPP,21%,7%,2%,5%,7%
9095412,137252,154,148,129,99,49,5,35,50,21,9,19,3,3,14,8,96%,84%,64%,32%,3%,23%,32%,14%,6%,12%,2%,2%,9%,5%
9095413,137254,46,41,34,30,8,0,5,22,4,0,7,SUPP,SUPP,4,SUPP,89%,74%,65%,17%,0%,11%,48%,9%,0%,15%,SUPP,SUPP,9%,SUPP
9095414,136902,90,85,71,61,32,5,27,29,10,0,14,SUPP,SUPP,6,4,94%,79%,68%,36%,6%,30%,32%,11%,0%,16%,SUPP,SUPP,7%,4%
9096906,135621,87,77,56,29,5,0,4,24,16,11,21,SUPP,SUPP,11,SUPP,89%,64%,33%,6%,0%,5%,28%,18%,13%,24%,SUPP,SUPP,13%,SUPP
9096907,135632,77,66,49,38,12,0,9,26,11,0,17,8,3,11,10,86%,64%,49%,16%,0%,12%,34%,14%,0%,22%,10%,4%,14%,13%
9098001,130631,218,189,99,52,3,0,SUPP,49,47,0,90,21,8,32,SUPP,87%,45%,24%,1%,0%,SUPP,22%,22%,0%,41%,10%,4%,15%,SUPP
9098002,130632,241,212,153,SUPP,SUPP,0,0,16,136,SUPP,59,23,6,39,SUPP,88%,63%,SUPP,SUPP,0%,0%,7%,56%,SUPP,24%,10%,2%,16%,SUPP
9098005,130633,218,188,126,55,6,0,4,49,71,0,62,25,5,80,SUPP,86%,58%,25%,3%,0%,2%,22%,33%,0%,28%,11%,2%,37%,SUPP
9098009,130634,227,187,105,40,3,0,0,37,65,0,82,32,8,24,SUPP,82%,46%,18%,1%,0%,0%,16%,29%,0%,36%,14%,4%,11%,SUPP
LA,909,3130,2830,2125,1450,560,30,405,890,600,75,705,230,70,375,135,90%,68%,46%,18%,1%,13%,28%,19%,2%,23%,7%,2%,12%,4%
9164001,136306,157,143,126,120,96,5,73,24,3,3,17,10,4,3,8,91%,80%,76%,61%,3%,46%,15%,2%,2%,11%,6%,3%,2%,5%
9164002,136666,121,110,95,82,50,0,36,32,SUPP,SUPP,15,5,6,SUPP,8,91%,79%,68%,41%,0%,30%,26%,SUPP,SUPP,12%,4%,5%,SUPP,7%
9164003,137690,46,37,18,13,0,0,0,13,5,0,19,9,0,5,SUPP,80%,39%,28%,0%,0%,0%,28%,11%,0%,41%,20%,0%,11%,SUPP
9164024,136772,152,143,92,74,25,0,20,49,18,0,51,9,0,12,16,94%,61%,49%,16%,0%,13%,32%,12%,0%,34%,6%,0%,8%,11%
9164032,115723,74,65,31,17,3,0,SUPP,14,11,3,34,6,3,4,8,88%,42%,23%,4%,0%,SUPP,19%,15%,4%,46%,8%,4%,5%,11%
9164513,137097,92,83,61,40,19,0,15,21,6,15,22,5,4,4,10,90%,66%,43%,21%,0%,16%,23%,7%,16%,24%,5%,4%,4%,11%
9164600,136982,162,150,109,69,22,SUPP,18,47,26,14,41,8,4,16,5,93%,67%,43%,14%,SUPP,11%,29%,16%,9%,25%,5%,2%,10%,3%
9165400,136767,96,89,66,60,25,0,18,35,SUPP,SUPP,23,4,3,4,3,93%,69%,63%,26%,0%,19%,36%,SUPP,SUPP,24%,4%,3%,4%,3%
9165401,137123,128,120,97,79,50,8,33,29,10,8,23,4,4,SUPP,8,94%,76%,62%,39%,6%,26%,23%,8%,6%,18%,3%,3%,SUPP,6%
9165402,136874,138,130,103,88,65,3,50,23,12,3,27,4,4,SUPP,12,94%,75%,64%,47%,2%,36%,17%,9%,2%,20%,3%,3%,SUPP,9%
9165403,136353,193,181,143,138,130,21,115,8,5,0,38,8,4,SUPP,29,94%,74%,72%,67%,11%,60%,4%,3%,0%,20%,4%,2%,SUPP,15%
9165404,136578,118,110,91,80,40,6,34,40,SUPP,SUPP,19,SUPP,SUPP,6,9,93%,77%,68%,34%,5%,29%,34%,SUPP,SUPP,16%,SUPP,SUPP,5%,8%
9165405,137752,107,93,69,57,18,0,13,39,5,7,24,SUPP,SUPP,4,4,87%,64%,53%,17%,0%,12%,36%,5%,7%,22%,SUPP,SUPP,4%,4%
9165406,137033,131,128,105,90,49,SUPP,37,41,12,3,23,3,0,4,9,98%,80%,69%,37%,SUPP,28%,31%,9%,2%,18%,2%,0%,3%,7%
9165407,115758,68,62,49,46,20,0,16,26,SUPP,SUPP,13,6,0,SUPP,7,91%,72%,68%,29%,0%,24%,38%,SUPP,SUPP,19%,9%,0%,SUPP,10%
9165408,136474,169,153,105,84,44,3,34,40,17,4,48,12,4,5,20,91%,62%,50%,26%,2%,20%,24%,10%,2%,28%,7%,2%,3%,12%
9165409,137634,78,74,43,33,4,0,SUPP,29,6,4,31,SUPP,SUPP,8,4,95%,55%,42%,5%,0%,SUPP,37%,8%,5%,40%,SUPP,SUPP,10%,5%
9165410,136292,93,83,57,48,27,SUPP,21,21,SUPP,SUPP,26,5,5,SUPP,12,89%,61%,52%,29%,SUPP,23%,23%,SUPP,SUPP,28%,5%,5%,SUPP,13%
9165411,138746,68,60,42,34,12,0,9,22,8,0,18,SUPP,SUPP,7,SUPP,88%,62%,50%,18%,0%,13%,32%,12%,0%,26%,SUPP,SUPP,10%,SUPP
9165412,136623,101,95,68,52,15,SUPP,13,37,12,4,27,SUPP,SUPP,4,8,94%,67%,51%,15%,SUPP,13%,37%,12%,4%,27%,SUPP,SUPP,4%,8%
9165414,136960,77,69,43,39,22,0,16,17,4,0,26,SUPP,SUPP,3,7,90%,56%,51%,29%,0%,21%,22%,5%,0%,34%,SUPP,SUPP,4%,9%
9165415,137382,126,105,69,53,17,SUPP,12,36,13,3,36,18,3,11,4,83%,55%,42%,13%,SUPP,10%,29%,10%,2%,29%,14%,2%,9%,3%
9165418,136725,158,146,115,92,32,0,31,60,23,0,31,7,5,8,11,92%,73%,58%,20%,0%,20%,38%,15%,0%,20%,4%,3%,5%,7%
9166905,136016,89,76,52,47,SUPP,0,SUPP,SUPP,SUPP,SUPP,24,10,3,3,SUPP,85%,58%,53%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,27%,11%,3%,3%,SUPP
9168000,130683,612,509,298,163,16,0,11,147,SUPP,SUPP,211,85,18,46,5,83%,49%,27%,3%,0%,2%,24%,SUPP,SUPP,34%,14%,3%,8%,1%
9168008,130686,819,747,540,298,138,SUPP,95,160,76,166,207,50,22,49,37,91%,66%,36%,17%,SUPP,12%,20%,9%,20%,25%,6%,3%,6%,5%
9168300,130687,562,460,260,173,16,0,5,157,83,4,200,66,36,37,18,82%,46%,31%,3%,0%,1%,28%,15%,1%,36%,12%,6%,7%,3%
LA,916,4790,4265,2975,2190,960,55,730,1230,535,255,1290,380,145,260,265,89%,62%,46%,20%,1%,15%,26%,11%,5%,27%,8%,3%,5%,5%
9194000,117499,49,45,29,26,11,SUPP,7,15,3,0,16,SUPP,SUPP,4,10,92%,59%,53%,22%,SUPP,14%,31%,6%,0%,33%,SUPP,SUPP,8%,20%
9194001,138747,109,95,63,49,15,0,8,34,SUPP,SUPP,32,SUPP,SUPP,4,6,87%,58%,45%,14%,0%,7%,31%,SUPP,SUPP,29%,SUPP,SUPP,4%,6%
9194002,138225,30,29,25,16,5,0,SUPP,11,SUPP,SUPP,4,SUPP,SUPP,8,SUPP,97%,83%,53%,17%,0%,SUPP,37%,SUPP,SUPP,13%,SUPP,SUPP,27%,SUPP
9194003,138582,21,17,SUPP,14,3,0,0,11,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,81%,SUPP,67%,14%,0%,0%,52%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9194005,117500,107,97,73,60,27,SUPP,19,33,SUPP,SUPP,24,6,4,SUPP,3,91%,68%,56%,25%,SUPP,18%,31%,SUPP,SUPP,22%,6%,4%,SUPP,3%
9194006,139873,137,124,95,89,37,SUPP,30,52,SUPP,SUPP,29,6,7,5,10,91%,69%,65%,27%,SUPP,22%,38%,SUPP,SUPP,21%,4%,5%,4%,7%
9194008,139154,94,87,75,70,35,SUPP,31,35,SUPP,SUPP,12,SUPP,SUPP,4,SUPP,93%,80%,74%,37%,SUPP,33%,37%,SUPP,SUPP,13%,SUPP,SUPP,4%,SUPP
9194009,137288,119,114,99,84,44,SUPP,35,40,SUPP,SUPP,15,SUPP,SUPP,3,5,96%,83%,71%,37%,SUPP,29%,34%,SUPP,SUPP,13%,SUPP,SUPP,3%,4%
9194010,117504,43,43,34,30,9,SUPP,6,21,4,0,9,0,0,3,6,100%,79%,70%,21%,SUPP,14%,49%,9%,0%,21%,0%,0%,7%,14%
9194011,137038,72,69,58,51,24,0,19,27,SUPP,SUPP,11,3,0,SUPP,4,96%,81%,71%,33%,0%,26%,38%,SUPP,SUPP,15%,4%,0%,SUPP,6%
9194012,139902,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9194013,137985,108,100,87,74,35,3,20,39,7,6,13,SUPP,SUPP,3,6,93%,81%,69%,32%,3%,19%,36%,6%,6%,12%,SUPP,SUPP,3%,6%
9194014,137847,57,54,43,34,18,SUPP,13,16,5,4,11,0,3,8,SUPP,95%,75%,60%,32%,SUPP,23%,28%,9%,7%,19%,0%,5%,14%,SUPP
9194016,136608,133,124,91,80,37,3,27,43,SUPP,SUPP,33,SUPP,SUPP,11,5,93%,68%,60%,28%,2%,20%,32%,SUPP,SUPP,25%,SUPP,SUPP,8%,4%
9194017,140037,19,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9194028,137270,126,111,88,85,52,SUPP,36,33,SUPP,SUPP,23,11,4,SUPP,16,88%,70%,67%,41%,SUPP,29%,26%,SUPP,SUPP,18%,9%,3%,SUPP,13%
9194029,117512,27,23,16,12,3,0,SUPP,9,SUPP,SUPP,7,4,0,0,SUPP,85%,59%,44%,11%,0%,SUPP,33%,SUPP,SUPP,26%,15%,0%,0%,SUPP
9194043,138286,130,117,91,83,50,3,32,33,SUPP,SUPP,26,10,3,3,9,90%,70%,64%,38%,2%,25%,25%,SUPP,SUPP,20%,8%,2%,2%,7%
9194047,117515,51,46,38,26,SUPP,0,SUPP,SUPP,6,6,8,SUPP,SUPP,3,3,90%,75%,51%,SUPP,0%,SUPP,SUPP,12%,12%,16%,SUPP,SUPP,6%,6%
9194066,117518,59,54,39,33,SUPP,0,SUPP,SUPP,6,0,15,SUPP,SUPP,4,SUPP,92%,66%,56%,SUPP,0%,SUPP,SUPP,10%,0%,25%,SUPP,SUPP,7%,SUPP
9194067,140294,106,101,77,70,38,SUPP,25,32,7,0,24,SUPP,SUPP,3,11,95%,73%,66%,36%,SUPP,24%,30%,7%,0%,23%,SUPP,SUPP,3%,10%
9194070,136973,123,113,94,88,48,SUPP,34,40,6,0,19,6,4,3,9,92%,76%,72%,39%,SUPP,28%,33%,5%,0%,15%,5%,3%,2%,7%
9194080,137110,55,55,50,31,10,SUPP,4,21,3,16,5,0,0,3,SUPP,100%,91%,56%,18%,SUPP,7%,38%,5%,29%,9%,0%,0%,5%,SUPP
9194083,137339,96,92,83,80,37,0,29,43,SUPP,SUPP,9,SUPP,SUPP,0,4,96%,86%,83%,39%,0%,30%,45%,SUPP,SUPP,9%,SUPP,SUPP,0%,4%
9194087,117525,18,18,SUPP,12,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0,0,3,SUPP,100%,SUPP,67%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,17%,SUPP
9194096,139036,77,70,57,51,18,SUPP,12,33,SUPP,SUPP,13,SUPP,SUPP,7,4,91%,74%,66%,23%,SUPP,16%,43%,SUPP,SUPP,17%,SUPP,SUPP,9%,5%
9194099,137757,52,50,40,35,9,0,4,26,SUPP,SUPP,10,SUPP,SUPP,SUPP,3,96%,77%,67%,17%,0%,8%,50%,SUPP,SUPP,19%,SUPP,SUPP,SUPP,6%
9194100,117528,68,64,49,45,14,0,9,31,4,0,15,4,0,5,6,94%,72%,66%,21%,0%,13%,46%,6%,0%,22%,6%,0%,7%,9%
9194101,136396,121,117,93,86,48,SUPP,25,38,7,0,24,SUPP,SUPP,SUPP,SUPP,97%,77%,71%,40%,SUPP,21%,31%,6%,0%,20%,SUPP,SUPP,SUPP,SUPP
9194104,117530,102,96,73,56,27,0,16,29,17,0,23,SUPP,SUPP,8,3,94%,72%,55%,26%,0%,16%,28%,17%,0%,23%,SUPP,SUPP,8%,3%
9194111,140049,72,61,42,35,14,0,SUPP,21,SUPP,SUPP,19,5,6,4,5,85%,58%,49%,19%,0%,SUPP,29%,SUPP,SUPP,26%,7%,8%,6%,7%
9194116,117534,30,27,21,16,SUPP,0,SUPP,SUPP,SUPP,SUPP,6,SUPP,SUPP,SUPP,SUPP,90%,70%,53%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,20%,SUPP,SUPP,SUPP,SUPP
9194117,138484,23,21,17,14,SUPP,SUPP,SUPP,SUPP,3,0,4,SUPP,SUPP,0,SUPP,91%,74%,61%,SUPP,SUPP,SUPP,SUPP,13%,0%,17%,SUPP,SUPP,0%,SUPP
9194118,138632,82,79,57,46,17,SUPP,11,29,SUPP,SUPP,22,SUPP,SUPP,SUPP,7,96%,70%,56%,21%,SUPP,13%,35%,SUPP,SUPP,27%,SUPP,SUPP,SUPP,9%
9194122,117537,84,77,60,48,20,0,16,28,SUPP,SUPP,17,SUPP,SUPP,3,SUPP,92%,71%,57%,24%,0%,19%,33%,SUPP,SUPP,20%,SUPP,SUPP,4%,SUPP
9194137,117538,40,38,22,15,5,0,SUPP,10,7,0,16,SUPP,SUPP,8,3,95%,55%,38%,13%,0%,SUPP,25%,18%,0%,40%,SUPP,SUPP,20%,8%
9194140,137656,33,33,22,17,5,0,SUPP,12,SUPP,SUPP,11,0,0,4,SUPP,100%,67%,52%,15%,0%,SUPP,36%,SUPP,SUPP,33%,0%,0%,12%,SUPP
9194141,137002,114,105,86,72,38,0,15,34,14,0,19,SUPP,SUPP,6,5,92%,75%,63%,33%,0%,13%,30%,12%,0%,17%,SUPP,SUPP,5%,4%
9194154,137792,19,18,10,7,SUPP,0,SUPP,SUPP,3,0,8,SUPP,SUPP,3,SUPP,95%,53%,37%,SUPP,0%,SUPP,SUPP,16%,0%,42%,SUPP,SUPP,16%,SUPP
9194197,136609,151,138,114,104,60,SUPP,41,44,10,0,24,10,3,SUPP,11,91%,75%,69%,40%,SUPP,27%,29%,7%,0%,16%,7%,2%,SUPP,7%
9194200,137637,69,61,52,45,20,SUPP,8,25,SUPP,SUPP,9,8,0,SUPP,3,88%,75%,65%,29%,SUPP,12%,36%,SUPP,SUPP,13%,12%,0%,SUPP,4%
9194498,137090,99,92,67,57,17,SUPP,9,40,SUPP,SUPP,25,4,3,8,SUPP,93%,68%,58%,17%,SUPP,9%,40%,SUPP,SUPP,25%,4%,3%,8%,SUPP
9194499,117552,18,17,10,5,SUPP,0,SUPP,SUPP,SUPP,SUPP,7,SUPP,SUPP,0,SUPP,94%,56%,28%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,39%,SUPP,SUPP,0%,SUPP
9194504,138352,124,112,82,81,39,0,27,42,SUPP,SUPP,30,SUPP,SUPP,SUPP,16,90%,66%,65%,31%,0%,22%,34%,SUPP,SUPP,24%,SUPP,SUPP,SUPP,13%
9194606,117555,31,26,20,17,4,0,SUPP,13,SUPP,SUPP,6,SUPP,SUPP,SUPP,SUPP,84%,65%,55%,13%,0%,SUPP,42%,SUPP,SUPP,19%,SUPP,SUPP,SUPP,SUPP
9194614,138356,185,167,138,124,87,4,58,37,7,7,29,12,6,SUPP,9,90%,75%,67%,47%,2%,31%,20%,4%,4%,16%,6%,3%,SUPP,5%
9194619,117557,88,82,63,59,23,SUPP,13,36,4,0,19,SUPP,SUPP,3,6,93%,72%,67%,26%,SUPP,15%,41%,5%,0%,22%,SUPP,SUPP,3%,7%
9194620,138106,67,64,47,43,27,SUPP,20,16,SUPP,SUPP,17,3,0,SUPP,5,96%,70%,64%,40%,SUPP,30%,24%,SUPP,SUPP,25%,4%,0%,SUPP,7%
9194802,136922,67,56,SUPP,49,37,SUPP,35,12,SUPP,SUPP,SUPP,5,6,SUPP,6,84%,SUPP,73%,55%,SUPP,52%,18%,SUPP,SUPP,SUPP,7%,9%,SUPP,9%
9195400,136606,140,131,110,93,58,SUPP,37,35,13,4,21,5,4,6,4,94%,79%,66%,41%,SUPP,26%,25%,9%,3%,15%,4%,3%,4%,3%
9195401,136276,167,151,136,134,114,11,99,20,SUPP,SUPP,15,9,7,SUPP,9,90%,81%,80%,68%,7%,59%,12%,SUPP,SUPP,9%,5%,4%,SUPP,5%
9195403,136289,196,178,163,158,133,6,103,25,SUPP,SUPP,15,10,8,SUPP,5,91%,83%,81%,68%,3%,53%,13%,SUPP,SUPP,8%,5%,4%,SUPP,3%
9195404,136899,194,178,153,140,108,10,80,32,9,4,25,SUPP,SUPP,5,3,92%,79%,72%,56%,5%,41%,16%,5%,2%,13%,SUPP,SUPP,3%,2%
9195405,117577,126,120,99,92,44,SUPP,25,48,3,4,21,SUPP,SUPP,6,8,95%,79%,73%,35%,SUPP,20%,38%,2%,3%,17%,SUPP,SUPP,5%,6%
9195406,117578,90,84,68,60,37,SUPP,27,23,SUPP,SUPP,16,3,3,SUPP,4,93%,76%,67%,41%,SUPP,30%,26%,SUPP,SUPP,18%,3%,3%,SUPP,4%
9195407,136554,215,196,158,142,125,17,99,17,12,4,38,16,3,3,20,91%,73%,66%,58%,8%,46%,8%,6%,2%,18%,7%,1%,1%,9%
9195408,137872,79,70,48,38,9,0,4,29,SUPP,SUPP,22,6,3,6,6,89%,61%,48%,11%,0%,5%,37%,SUPP,SUPP,28%,8%,4%,8%,8%
9195410,136877,163,144,108,96,59,0,34,37,12,0,36,13,6,9,10,88%,66%,59%,36%,0%,21%,23%,7%,0%,22%,8%,4%,6%,6%
9195411,137224,55,52,35,23,5,0,4,18,8,4,17,SUPP,SUPP,7,SUPP,95%,64%,42%,9%,0%,7%,33%,15%,7%,31%,SUPP,SUPP,13%,SUPP
9195412,137938,56,54,42,36,20,SUPP,15,16,SUPP,SUPP,12,SUPP,SUPP,4,SUPP,96%,75%,64%,36%,SUPP,27%,29%,SUPP,SUPP,21%,SUPP,SUPP,7%,SUPP
9195413,137895,197,189,159,123,73,6,43,50,8,29,30,SUPP,SUPP,7,6,96%,81%,62%,37%,3%,22%,25%,4%,15%,15%,SUPP,SUPP,4%,3%
9195414,138042,64,57,40,25,4,0,SUPP,21,11,4,17,SUPP,SUPP,6,4,89%,63%,39%,6%,0%,SUPP,33%,17%,6%,27%,SUPP,SUPP,9%,6%
9195415,137532,95,89,60,55,16,0,9,39,5,0,29,SUPP,SUPP,3,8,94%,63%,58%,17%,0%,9%,41%,5%,0%,31%,SUPP,SUPP,3%,8%
9195416,137156,159,147,120,109,52,3,27,57,11,0,27,SUPP,SUPP,6,8,92%,75%,69%,33%,2%,17%,36%,7%,0%,17%,SUPP,SUPP,4%,5%
9195417,137922,94,89,76,62,31,0,14,31,8,6,13,0,5,6,3,95%,81%,66%,33%,0%,15%,33%,9%,6%,14%,0%,5%,6%,3%
9195418,137914,83,79,64,62,20,0,10,42,SUPP,SUPP,15,4,0,SUPP,5,95%,77%,75%,24%,0%,12%,51%,SUPP,SUPP,18%,5%,0%,SUPP,6%
9195419,117591,74,72,52,42,19,0,7,23,6,4,20,SUPP,SUPP,5,4,97%,70%,57%,26%,0%,9%,31%,8%,5%,27%,SUPP,SUPP,7%,5%
9195420,140786,168,159,134,121,68,SUPP,42,53,10,3,25,6,3,5,6,95%,80%,72%,40%,SUPP,25%,32%,6%,2%,15%,4%,2%,3%,4%
9195421,136901,150,142,116,100,57,SUPP,41,43,8,8,26,SUPP,SUPP,0,7,95%,77%,67%,38%,SUPP,27%,29%,5%,5%,17%,SUPP,SUPP,0%,5%
9195422,117594,72,70,63,52,18,0,9,34,SUPP,SUPP,7,SUPP,SUPP,4,SUPP,97%,88%,72%,25%,0%,13%,47%,SUPP,SUPP,10%,SUPP,SUPP,6%,SUPP
9195423,138360,32,24,18,18,SUPP,0,SUPP,SUPP,0,0,6,4,4,SUPP,4,75%,56%,56%,SUPP,0%,SUPP,SUPP,0%,0%,19%,13%,13%,SUPP,13%
9195425,117596,43,38,31,19,SUPP,0,SUPP,SUPP,SUPP,SUPP,7,5,0,4,3,88%,72%,44%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,16%,12%,0%,9%,7%
9195426,136607,123,112,89,72,22,0,13,50,13,4,23,6,5,12,4,91%,72%,59%,18%,0%,11%,41%,11%,3%,19%,5%,4%,10%,3%
9195427,136482,115,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
9196905,135876,30,27,23,22,3,0,0,19,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,90%,77%,73%,10%,0%,0%,63%,SUPP,SUPP,13%,SUPP,SUPP,SUPP,SUPP
9196906,135938,33,30,25,22,7,0,3,15,3,0,5,SUPP,SUPP,3,SUPP,91%,76%,67%,21%,0%,9%,45%,9%,0%,15%,SUPP,SUPP,9%,SUPP
9198019,130720,1031,867,451,331,39,0,19,292,SUPP,SUPP,416,125,39,71,14,84%,44%,32%,4%,0%,2%,28%,SUPP,SUPP,40%,12%,4%,7%,1%
9198020,130721,337,293,150,76,6,0,3,70,SUPP,SUPP,143,35,9,22,4,87%,45%,23%,2%,0%,1%,21%,SUPP,SUPP,42%,10%,3%,7%,1%
9198021,130722,558,489,307,107,12,0,4,95,200,0,182,50,19,43,4,88%,55%,19%,2%,0%,1%,17%,36%,0%,33%,9%,3%,8%,1%
9198022,130723,842,739,477,286,29,0,12,257,SUPP,SUPP,262,54,49,41,16,88%,57%,34%,3%,0%,1%,31%,SUPP,SUPP,31%,6%,6%,5%,2%
LA,919,9580,8645,6385,5155,2335,100,1545,2825,1055,175,2260,640,295,460,395,90%,67%,54%,24%,1%,16%,29%,11%,2%,24%,7%,3%,5%,4%
9214000,136751,130,111,85,57,22,SUPP,15,35,10,18,26,16,3,7,4,85%,65%,44%,17%,SUPP,12%,27%,8%,14%,20%,12%,2%,5%,3%
